Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.418, 1.418, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.418, 1.418, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.418, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1418
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.005, 0.00388, 0.00613541%, 0.00613541%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.773, 0.62084, 0.981729%, 0.987864%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.427, 0.41476, 0.655856%, 1.64372%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00192, 0.00303608%, 1.64676%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 0.00102, 0.00161292%, 1.64837%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.532, 0.5041, 0.797129%, 2.4455%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.064, 0.06266, 0.0990837%, 2.54458%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.17, 0.16924, 0.267618%, 2.8122%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00124, 0.0019608%, 2.81416%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00058, 0.000917149%, 2.81508%, 0, 1, [Shape]:9
FILL, 0.033, 0.03198, 0.0505697%, 2.86565%, 0, 1, [BroadcastTo]:10
MUL, 0.271, 0.2813, 0.444817%, 3.31046%, 0, 1, [BroadcastTo1]:11
ADD, 0.158, 0.14814, 0.234252%, 3.54472%, 0, 1, [add]:12
SHAPE, 0, 0.0006, 0.000948775%, 3.54567%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.00144, 0.00227706%, 3.54794%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0.001, 0.00052, 0.000822271%, 3.54877%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00048, 0.00075902%, 3.54952%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.0013, 0.00205568%, 3.55158%, 0, 1, [layer_normalization/ones]:17
FILL, 0.001, 0.00134, 0.00211893%, 3.5537%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.006, 0.00614, 0.00970913%, 3.56341%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.1, 0.10446, 0.165182%, 3.72859%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.305, 0.29082, 0.459871%, 4.18846%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.079, 0.07382, 0.116731%, 4.30519%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.161, 0.15438, 0.24412%, 4.54931%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.07, 0.06494, 0.102689%, 4.652%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.006, 0.00566, 0.00895011%, 4.66095%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.004, 0.00418, 0.0066098%, 4.66756%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.009, 0.00734, 0.0116067%, 4.67917%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.096, 0.0934, 0.147693%, 4.82686%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.003, 0.00286, 0.00452249%, 4.83138%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.004, 0.00398, 0.00629354%, 4.83768%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.069, 0.07006, 0.110785%, 4.94846%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.106, 0.10466, 0.165498%, 5.11396%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0.001, 0.00106, 0.00167617%, 5.11563%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.133, 0.13154, 0.208003%, 5.32364%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.063, 0.0631, 0.0997795%, 5.42342%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 0.00042, 0.000664142%, 5.42408%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
