Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.268, 0.268, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.268, 0.268, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.268, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=268
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.001, 0.0003, 0.00142928%, 0.00142928%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.163, 0.16654, 0.793443%, 0.794872%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.044, 0.04822, 0.229733%, 1.02461%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 6e-05, 0.000285857%, 1.02489%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0.00014, 0.000666999%, 1.02556%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.091, 0.1033, 0.49215%, 1.51771%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.008, 0.00862, 0.0410681%, 1.55878%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.021, 0.0255, 0.121489%, 1.68027%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 6e-05, 0.000285857%, 1.68055%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 8e-05, 0.000381142%, 1.68093%, 0, 1, [Shape]:9
FILL, 0.009, 0.0085, 0.0404964%, 1.72143%, 0, 1, [BroadcastTo]:10
MUL, 0.011, 0.01, 0.0476428%, 1.76907%, 0, 1, [BroadcastTo1]:11
ADD, 0.017, 0.01886, 0.0898543%, 1.85893%, 0, 1, [add]:12
SHAPE, 0, 6e-05, 0.000285857%, 1.85921%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 0.00014, 0.000666999%, 1.85988%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.0001, 0.000476428%, 1.86036%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0, 0%, 1.86036%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.00012, 0.000571713%, 1.86093%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.0001, 0.000476428%, 1.8614%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.00038, 0.00181043%, 1.86321%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.03, 0.0372, 0.177231%, 2.04044%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.033, 0.03028, 0.144262%, 2.18471%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.015, 0.0226, 0.107673%, 2.29238%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.025, 0.02548, 0.121394%, 2.41377%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.017, 0.0188, 0.0895684%, 2.50334%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.00034, 0.00161985%, 2.50496%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.00084, 0.00400199%, 2.50896%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.001, 0.00476428%, 2.51373%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.021, 0.02314, 0.110245%, 2.62397%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.00076, 0.00362085%, 2.62759%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.001, 0.00052, 0.00247742%, 2.63007%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.023, 0.02836, 0.135115%, 2.76519%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.018, 0.0248, 0.118154%, 2.88334%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0.001, 0.00016, 0.000762284%, 2.8841%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.014, 0.01502, 0.0715595%, 2.95566%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.026, 0.02984, 0.142166%, 3.09783%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 6e-05, 0.000285857%, 3.09811%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 2e-05, 9.52856e-05%, 3.09821%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0.001, 6e-05, 0.000285857%, 3.0985%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0, 0.00016, 0.000762284%, 3.09926%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 2e-05, 9.52856e-05%, 3.09935%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 0.0001, 0.000476428%, 3.09983%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00028, 0.001334%, 3.10116%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.011, 0.0086, 0.0409728%, 3.14214%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.447, 0.4562, 2.17346%, 5.3156%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 8e-05, 0.000381142%, 5.31598%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.005, 0.00512, 0.0243931%, 5.34037%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0, 8e-05, 0.000381142%, 5.34076%, 0, 1, [multi_headed_attention/Shape]:47
STRIDED_SLICE, 0.001, 0.00012, 0.000571713%, 5.34133%, 0, 1, [multi_headed_attention/strided_slice]:48
PACK, 0, 0.00038, 0.00181043%, 5.34314%, 0, 1, [multi_headed_attention/Reshape/shape]:49
