Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.36, 0.36, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.36, 0.36, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.36, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=360
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.004, 0.00269853, 0.0776035%, 0.0776035%, 0, 1, [cnn/conv1d/Conv1D/ExpandDims]:0
CONV_2D, 0.058, 0.0564743, 1.62407%, 1.70167%, 0, 1, [cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp;cnn/conv1d/Conv1D]:1
RESHAPE, 0.001, 0.000911765, 0.0262202%, 1.72789%, 0, 1, [cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp]:2
EXPAND_DIMS, 0, 0.000367647, 0.0105727%, 1.73847%, 0, 1, [cnn/max_pooling1d/ExpandDims]:3
MAX_POOL_2D, 0.041, 0.0394963, 1.13582%, 2.87429%, 0, 1, [cnn/max_pooling1d/MaxPool]:4
RESHAPE, 0, 0.000356618, 0.0102555%, 2.88454%, 0, 1, [cnn/max_pooling1d/Squeeze1]:5
EXPAND_DIMS, 0.001, 0.000371324, 0.0106784%, 2.89522%, 0, 1, [cnn/conv1d_1/Conv1D/ExpandDims]:6
CONV_2D, 0.211, 0.13361, 3.84232%, 6.73755%, 0, 1, [cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp;cnn/conv1d_1/Conv1D]:7
RESHAPE, 0.001, 0.000610294, 0.0175506%, 6.7551%, 0, 1, [cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp]:8
EXPAND_DIMS, 0.001, 0.000283088, 0.00814096%, 6.76324%, 0, 1, [cnn/max_pooling1d_1/ExpandDims]:9
MAX_POOL_2D, 0.026, 0.0229485, 0.659947%, 7.42318%, 0, 1, [cnn/max_pooling1d_1/MaxPool]:10
RESHAPE, 0, 0.000463235, 0.0133216%, 7.43651%, 0, 1, [cnn/max_pooling1d_1/Squeeze1]:11
