Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.43, 1.43, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.43, 1.43, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.43, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1430
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.005, 0.00376, 0.0060963%, 0.0060963%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.729, 0.64622, 1.04775%, 1.05385%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.354, 0.36804, 0.596724%, 1.65057%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00164, 0.00265903%, 1.65323%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0.00088, 0.00142679%, 1.65466%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.471, 0.4823, 0.781981%, 2.43664%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.062, 0.06344, 0.102859%, 2.5395%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.164, 0.1947, 0.315678%, 2.85518%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00108, 0.00175107%, 2.85693%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0.001, 0.00058, 0.000940387%, 2.85787%, 0, 1, [Shape]:9
FILL, 0.036, 0.03958, 0.0641733%, 2.92204%, 0, 1, [BroadcastTo]:10
MUL, 0.248, 0.24486, 0.397006%, 3.31905%, 0, 1, [BroadcastTo1]:11
ADD, 0.137, 0.12408, 0.201178%, 3.52023%, 0, 1, [add]:12
SHAPE, 0.001, 0.00066, 0.0010701%, 3.5213%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.00114, 0.00184835%, 3.52314%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00066, 0.0010701%, 3.52421%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00068, 0.00110252%, 3.52532%, 0, 1, [layer_normalization/ones/packed]:16
