Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.292, 0.292, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.292, 0.292, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.292, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=292
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.00014, 0.000667842%, 0.000667842%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.164, 0.16308, 0.777941%, 0.778608%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.044, 0.04778, 0.227925%, 1.00653%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 0.00012, 0.000572436%, 1.00711%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 8e-05, 0.000381624%, 1.00749%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.091, 0.09742, 0.464723%, 1.47221%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.008, 0.00876, 0.0417878%, 1.514%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.019, 0.02434, 0.116109%, 1.63011%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 0.00012, 0.000572436%, 1.63068%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.0001, 0.00047703%, 1.63116%, 0, 1, [Shape]:9
FILL, 0.01, 0.0089, 0.0424557%, 1.67361%, 0, 1, [BroadcastTo]:10
MUL, 0.011, 0.01082, 0.0516147%, 1.72523%, 0, 1, [BroadcastTo1]:11
ADD, 0.017, 0.01742, 0.0830986%, 1.80833%, 0, 1, [add]:12
SHAPE, 0, 8e-05, 0.000381624%, 1.80871%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 0.00012, 0.000572436%, 1.80928%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.0001, 0.00047703%, 1.80976%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 6e-05, 0.000286218%, 1.81004%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.00014, 0.000667842%, 1.81071%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.00014, 0.000667842%, 1.81138%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.00052, 0.00248056%, 1.81386%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.032, 0.03396, 0.161999%, 1.97586%, 0, 1, [layer_normalization/Reshape]:20
