op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
EXPAND_DIMS,46,599.0,0.019962963,-0.0066937706,0.04351144,0.00066693826,0.09384304,-121,cnn/conv1d/Conv1D/ExpandDims
CONV_2D,50,9584.0,0.004322497,-0.0006903729,0.019672113,1.9622164e-05,0.02142374,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp;cnn/conv1d/Conv1D
RESHAPE,54,9584.0,4.0492118e-08,3.6906584e-09,1.324803e-07,1.6693303e-15,0.02142374,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp
EXPAND_DIMS,58,9584.0,4.0492118e-08,3.6906584e-09,1.324803e-07,1.6693303e-15,0.02142374,-128,cnn/max_pooling1d/ExpandDims
MAX_POOL_2D,62,4800.0,4.1766725e-08,3.791917e-09,1.3174903e-07,1.7750014e-15,0.02142374,-128,cnn/max_pooling1d/MaxPool
RESHAPE,66,4800.0,4.1766725e-08,3.791917e-09,1.3174903e-07,1.7750014e-15,0.02142374,-128,cnn/max_pooling1d/Squeeze1
EXPAND_DIMS,70,4800.0,4.1766725e-08,3.791917e-09,1.3174903e-07,1.7750014e-15,0.02142374,-128,cnn/conv1d_1/Conv1D/ExpandDims
CONV_2D,74,9600.0,0.0032225528,7.6492564e-05,0.011829067,1.049445e-05,0.017710432,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp;cnn/conv1d_1/Conv1D
RESHAPE,78,9600.0,3.005742e-08,1.00542605e-08,1.1938658e-07,1.0538433e-15,0.017710432,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp
EXPAND_DIMS,82,9600.0,3.005742e-08,1.00542605e-08,1.1938658e-07,1.0538433e-15,0.017710432,-128,cnn/max_pooling1d_1/ExpandDims
MAX_POOL_2D,86,4800.0,3.1223582e-08,1.0641229e-08,1.1932002e-07,1.1328995e-15,0.017710432,-128,cnn/max_pooling1d_1/MaxPool
RESHAPE,90,4800.0,3.1223582e-08,1.0641229e-08,1.1932002e-07,1.1328995e-15,0.017710432,-128,cnn/max_pooling1d_1/Squeeze1
EXPAND_DIMS,94,4800.0,3.1223582e-08,1.0641229e-08,1.1932002e-07,1.1328995e-15,0.017710432,-128,cnn/conv1d_2/Conv1D/ExpandDims
CONV_2D,98,9600.0,0.0019346974,-6.358297e-05,0.009743589,3.7635532e-06,0.015717342,-128,cnn/conv1d_2/Relu;cnn/conv1d_2/BiasAdd;cnn/conv1d_2/Conv1D/Squeeze;cnn/conv1d_2/BiasAdd/ReadVariableOp;cnn/conv1d_2/Conv1D
RESHAPE,102,9600.0,1.5956385e-08,3.457546e-10,6.527812e-08,2.5737903e-16,0.015717342,-128,cnn/conv1d_2/Relu;cnn/conv1d_2/BiasAdd;cnn/conv1d_2/Conv1D/Squeeze;cnn/conv1d_2/BiasAdd/ReadVariableOp
EXPAND_DIMS,106,9600.0,1.5956385e-08,3.457546e-10,6.527812e-08,2.5737903e-16,0.015717342,-128,cnn/max_pooling1d_2/ExpandDims
MAX_POOL_2D,110,4800.0,1.6848169e-08,3.3322564e-10,6.512497e-08,2.8616198e-16,0.015717342,-128,cnn/max_pooling1d_2/MaxPool
RESHAPE,114,4800.0,1.6848169e-08,3.3322564e-10,6.512497e-08,2.8616198e-16,0.015717342,-128,cnn/max_pooling1d_2/Squeeze1
EXPAND_DIMS,118,4800.0,1.6848169e-08,3.3322564e-10,6.512497e-08,2.8616198e-16,0.015717342,-128,cnn/conv1d_3/Conv1D/ExpandDims
