op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
EXPAND_DIMS,46,599.0,0.019962963,-0.0066937706,0.04351144,0.00066693826,0.09384304,-121,cnn/conv1d/Conv1D/ExpandDims
CONV_2D,50,9584.0,0.0046561826,-0.0008270474,0.017042799,2.3026107e-05,0.021639263,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp;cnn/conv1d/Conv1D
RESHAPE,54,9584.0,5.0569728e-08,5.804542e-09,1.4332848e-07,2.653411e-15,0.021639263,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp
EXPAND_DIMS,58,9584.0,5.0569728e-08,5.804542e-09,1.4332848e-07,2.653411e-15,0.021639263,-128,cnn/max_pooling1d/ExpandDims
MAX_POOL_2D,62,4800.0,5.1530822e-08,5.943724e-09,1.4315998e-07,2.7476934e-15,0.021639263,-128,cnn/max_pooling1d/MaxPool
RESHAPE,66,4800.0,5.1530822e-08,5.943724e-09,1.4315998e-07,2.7476934e-15,0.021639263,-128,cnn/max_pooling1d/Squeeze1
EXPAND_DIMS,70,4800.0,5.1530822e-08,5.943724e-09,1.4315998e-07,2.7476934e-15,0.021639263,-128,cnn/conv1d_1/Conv1D/ExpandDims
CONV_2D,74,9600.0,0.002438793,-1.0976695e-05,0.011243731,6.0024718e-06,0.013704215,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp;cnn/conv1d_1/Conv1D
RESHAPE,78,9600.0,1.9519675e-08,2.376251e-10,6.957187e-08,3.8759884e-16,0.013704215,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp
EXPAND_DIMS,82,9600.0,1.9519675e-08,2.376251e-10,6.957187e-08,3.8759884e-16,0.013704215,-128,cnn/max_pooling1d_1/ExpandDims
MAX_POOL_2D,86,4800.0,2.0254078e-08,2.4931265e-10,6.9377755e-08,4.160694e-16,0.013704215,-128,cnn/max_pooling1d_1/MaxPool
RESHAPE,90,4800.0,2.0254078e-08,2.4931265e-10,6.9377755e-08,4.160694e-16,0.013704215,-128,cnn/max_pooling1d_1/Squeeze1
EXPAND_DIMS,94,4800.0,2.0254078e-08,2.4931265e-10,6.9377755e-08,4.160694e-16,0.013704215,-128,cnn/conv1d_2/Conv1D/ExpandDims
CONV_2D,98,9600.0,0.002809035,-0.00029117067,0.014303481,8.0060445e-06,0.023180045,-128,cnn/conv1d_2/Relu;cnn/conv1d_2/BiasAdd;cnn/conv1d_2/Conv1D/Squeeze;cnn/conv1d_2/BiasAdd/ReadVariableOp;cnn/conv1d_2/Conv1D
RESHAPE,102,9600.0,2.4686896e-08,-4.6417514e-09,1.216754e-07,6.404339e-16,0.023180045,-128,cnn/conv1d_2/Relu;cnn/conv1d_2/BiasAdd;cnn/conv1d_2/Conv1D/Squeeze;cnn/conv1d_2/BiasAdd/ReadVariableOp
EXPAND_DIMS,106,9600.0,2.4686896e-08,-4.6417514e-09,1.216754e-07,6.404339e-16,0.023180045,-128,cnn/max_pooling1d_2/ExpandDims
MAX_POOL_2D,110,4800.0,2.6690692e-08,-5.298515e-09,1.2107452e-07,7.51296e-16,0.023180045,-128,cnn/max_pooling1d_2/MaxPool
RESHAPE,114,4800.0,2.6690692e-08,-5.298515e-09,1.2107452e-07,7.51296e-16,0.023180045,-128,cnn/max_pooling1d_2/Squeeze1
EXPAND_DIMS,118,4800.0,2.6690692e-08,-5.298515e-09,1.2107452e-07,7.51296e-16,0.023180045,-128,cnn/conv1d_3/Conv1D/ExpandDims
CONV_2D,122,9600.0,0.0042547,-0.00012336514,0.02353764,1.8166904e-05,0.042457685,-128,cnn/conv1d_3/Relu;cnn/conv1d_3/BiasAdd;cnn/conv1d_3/Conv1D/Squeeze;cnn/conv1d_3/BiasAdd/ReadVariableOp;cnn/conv1d_3/Conv1D
RESHAPE,126,9600.0,4.165697e-08,-6.789684e-09,2.548961e-07,1.817505e-15,0.042457685,-128,cnn/conv1d_3/Relu;cnn/conv1d_3/BiasAdd;cnn/conv1d_3/Conv1D/Squeeze;cnn/conv1d_3/BiasAdd/ReadVariableOp
EXPAND_DIMS,130,9600.0,4.165697e-08,-6.789684e-09,2.548961e-07,1.817505e-15,0.042457685,-128,cnn/max_pooling1d_3/ExpandDims
MAX_POOL_2D,134,4864.0,4.4913477e-08,-7.904573e-09,2.5164888e-07,2.1078773e-15,0.042457685,-128,cnn/max_pooling1d_3/MaxPool
RESHAPE,138,4864.0,4.4913477e-08,-7.904573e-09,2.5164888e-07,2.1078773e-15,0.042457685,-128,cnn/max_pooling1d_3/Squeeze1
EXPAND_DIMS,142,4864.0,4.4913477e-08,-7.904573e-09,2.5164888e-07,2.1078773e-15,0.042457685,-128,cnn/conv1d_4/Conv1D/ExpandDims
CONV_2D,146,9728.0,0.0006662043,-2.8823408e-05,0.01564769,4.5698e-07,0.0117163295,-128,cnn/conv1d_4/Relu;cnn/conv1d_4/BiasAdd;cnn/conv1d_4/Conv1D/Squeeze;cnn/conv1d_4/BiasAdd/ReadVariableOp;cnn/conv1d_4/Conv1D
RESHAPE,150,9728.0,4.4564654e-09,-2.3343445e-11,7.478473e-08,2.0060824e-17,0.0117163295,-128,cnn/flatten/Reshape
FULLY_CONNECTED,154,1024.0,0.0077758697,0.00041355024,0.13951023,6.594468e-05,0.0067648296,-128,cnn/dense/MatMul;cnn/dense/Relu;cnn/dense/BiasAdd
FULLY_CONNECTED,158,512.0,0.0033420546,8.631229e-05,0.01681989,1.3478034e-05,0.0059307516,-128,cnn/dense_1/MatMul;cnn/dense_1/Relu;cnn/dense_1/BiasAdd
FULLY_CONNECTED,162,1.0,0.0,0.0017044666,0.0021011534,6.23017e-05,0.0038856184,-81,StatefulPartitionedCall:0
