Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 0.103, 0.076, 61.7886%, 61.7886%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 0.065, 0.047, 38.2114%, 100%, 0, 2, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 0.103, 0.076, 61.7886%, 61.7886%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 0.065, 0.047, 38.2114%, 100%, 0, 2, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 0.152, 61.7886%, 61.7886%, 0, 2
AllocateTensors, 1, 0.094, 38.2114%, 100%, 0, 2

Timings (microseconds): count=1 curr=246
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
QUANTIZE, 0, 0.000214286, 0.00420829%, 0.00420829%, 0, 1, [serving_default_conv1d_input:0_int16]:0
EXPAND_DIMS, 0, 0.000132653, 0.00260513%, 0.00681342%, 0, 1, [cnn/conv1d/Conv1D/ExpandDims]:1
CONV_2D, 0.135, 0.137429, 2.69891%, 2.70573%, 0, 1, [cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp;cnn/conv1d/Conv1D]:2
RESHAPE, 0, 7.65306e-05, 0.00150296%, 2.70723%, 0, 1, [cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp]:3
EXPAND_DIMS, 0, 7.14286e-05, 0.00140276%, 2.70863%, 0, 1, [cnn/max_pooling1d/ExpandDims]:4
MAX_POOL_2D, 0.043, 0.0434337, 0.85298%, 3.56161%, 0, 1, [cnn/max_pooling1d/MaxPool]:5
RESHAPE, 0, 0.000107143, 0.00210414%, 3.56372%, 0, 1, [cnn/max_pooling1d/Squeeze1]:6
EXPAND_DIMS, 0, 8.16327e-05, 0.00160316%, 3.56532%, 0, 1, [cnn/conv1d_1/Conv1D/ExpandDims]:7
CONV_2D, 0.178, 0.17977, 3.53045%, 7.09577%, 0, 1, [cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp;cnn/conv1d_1/Conv1D]:8
