Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.379, 1.379, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.379, 1.379, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.379, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1379
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.006, 0.00398, 0.0057215%, 0.0057215%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.45, 0.2819, 0.405249%, 0.41097%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.348, 0.29962, 0.430722%, 0.841693%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00182, 0.00261636%, 0.844309%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.002, 0.00088, 0.00126505%, 0.845574%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.515, 0.54052, 0.777031%, 1.6226%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.062, 0.06332, 0.0910264%, 1.71363%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.127, 0.12944, 0.186078%, 1.89971%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.002, 0.00124, 0.00178258%, 1.90149%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00048, 0.00069003%, 1.90218%, 0, 1, [Shape]:9
FILL, 0.031, 0.03024, 0.0434719%, 1.94565%, 0, 1, [BroadcastTo]:10
MUL, 0.153, 0.14898, 0.214168%, 2.15982%, 0, 1, [BroadcastTo1]:11
ADD, 0.087, 0.09226, 0.132629%, 2.29245%, 0, 1, [add]:12
SHAPE, 0, 0.00034, 0.000488771%, 2.29294%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.00118, 0.00169632%, 2.29464%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00056, 0.000805035%, 2.29544%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00062, 0.000891288%, 2.29633%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.00128, 0.00184008%, 2.29817%, 0, 1, [layer_normalization/ones]:17
FILL, 0.001, 0.00104, 0.00149506%, 2.29967%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.007, 0.00602, 0.00865412%, 2.30832%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.098, 0.09814, 0.141082%, 2.4494%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.193, 0.19772, 0.284235%, 2.73364%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.074, 0.07298, 0.104913%, 2.83855%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.127, 0.08304, 0.119375%, 2.95793%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.075, 0.06426, 0.0923777%, 3.05031%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.005, 0.00438, 0.00629652%, 3.0566%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.004, 0.00392, 0.00563524%, 3.06224%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.007, 0.00644, 0.0092579%, 3.07149%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.12, 0.06968, 0.100169%, 3.17166%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.004, 0.0034, 0.00488771%, 3.17655%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.006, 0.00442, 0.00635402%, 3.18291%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.081, 0.07566, 0.108766%, 3.29167%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.074, 0.07816, 0.11236%, 3.40403%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0.001, 0.00088, 0.00126505%, 3.4053%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.042, 0.04134, 0.0594288%, 3.46473%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.066, 0.06836, 0.0982717%, 3.563%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 0.0004, 0.000575025%, 3.56357%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0.001, 0.00072, 0.00103504%, 3.56461%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0.001, 0.00036, 0.000517522%, 3.56512%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0.001, 0.00076, 0.00109255%, 3.56622%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0.001, 0.0005, 0.000718781%, 3.56694%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 0.0006, 0.000862537%, 3.5678%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0.003, 0.00326, 0.00468645%, 3.57249%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.095, 0.0968, 0.139156%, 3.71164%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
