Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.257, 0.257, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.257, 0.257, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.257, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=257
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.00019697, 0.00272451%, 0.00272451%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.052, 0.050697, 0.701248%, 0.703972%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.034, 0.0387121, 0.535472%, 1.23944%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 8.33333e-05, 0.00115268%, 1.2406%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0.000113636, 0.00157183%, 1.24217%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.099, 0.106061, 1.46705%, 2.70921%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00873485, 0.120822%, 2.83004%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.025, 0.0252652, 0.349471%, 3.17951%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 7.57576e-05, 0.00104789%, 3.18055%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 3.0303e-05, 0.000419156%, 3.18097%, 0, 1, [Shape]:9
FILL, 0.048, 0.0487576, 0.674422%, 3.8554%, 0, 1, [BroadcastTo]:10
MUL, 0.007, 0.00776515, 0.107409%, 3.9628%, 0, 1, [BroadcastTo1]:11
ADD, 0.023, 0.0241515, 0.334067%, 4.29687%, 0, 1, [add]:12
SHAPE, 0.001, 4.54545e-05, 0.000628734%, 4.2975%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 0.000204545, 0.0028293%, 4.30033%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 6.06061e-05, 0.000838312%, 4.30117%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 3.78788e-05, 0.000523945%, 4.30169%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.000234848, 0.00324846%, 4.30494%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.000204545, 0.0028293%, 4.30777%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.000401515, 0.00555381%, 4.31332%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.033, 0.0338106, 0.467673%, 4.781%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.026, 0.0272803, 0.377345%, 5.15834%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.019, 0.0200076, 0.276748%, 5.43509%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.034, 0.0225, 0.311223%, 5.74631%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.017, 0.0169318, 0.234203%, 5.98052%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.001, 0.000424242, 0.00586818%, 5.98638%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0, 0.000818182, 0.0113172%, 5.9977%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0, 0.000916667, 0.0126795%, 6.01038%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.021, 0.0209697, 0.290056%, 6.30044%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
