op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
EXPAND_DIMS,141,599.0,0.019962963,-0.0066937706,0.04351144,0.00066693826,0.09384304,-121,Conv1D/ExpandDims
CONV_2D,145,153344.0,0.007855464,2.1122694e-05,0.017125893,6.1875704e-05,0.026640873,-3,BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D
RESHAPE,151,153344.0,0.006998613,-0.0026103882,0.023238683,5.810002e-05,0.04737469,-128,Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1
EXPAND_DIMS,155,153344.0,0.0,0.0,0.0,0.0,0.04737469,-128,average_pooling1d/ExpandDims
AVERAGE_POOL_2D,159,76544.0,0.0,0.0,0.0,0.0,0.04737469,-128,average_pooling1d/AvgPool
ADD,163,76544.0,0.0011602412,-0.0002793544,0.013025303,2.989473e-06,0.045482807,-128,add;average_pooling1d/Squeeze;add/y
RESHAPE,169,76544.0,0.0006086971,0.00011264699,0.004742188,6.0051104e-07,0.013355297,-128,Sqrt;add;average_pooling1d/Squeeze;add/y1
FILL,174,76544.0,0.0,0.0,0.0,0.0,0.003921569,-128,BroadcastTo
MUL,178,76544.0,0.0005549327,9.778224e-07,0.0009607375,3.0795127e-07,0.0019214863,4,BroadcastTo1
ADD,182,76544.0,0.004224149,-1.8024114e-06,0.007294942,1.784348e-05,0.014616041,-111,add
FILL,189,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,layer_normalization/ones
FILL,193,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,layer_normalization/zeros
RESHAPE,199,76544.0,0.0,0.0,0.0,0.0,0.014616041,-111,layer_normalization/Reshape
TRANSPOSE,203,76544.0,0.0,0.0,0.0,0.0,0.014616041,-111,layer_normalization/FusedBatchNormV32
MEAN,207,299.0,0.0016760813,0.00025207413,0.005210842,2.9229307e-06,0.0053781685,-128,layer_normalization/FusedBatchNormV33
SQUARED_DIFFERENCE,211,76544.0,0.003763378,-0.0013672933,0.008720832,1.6079382e-05,0.017462432,-128,layer_normalization/FusedBatchNormV34
MEAN,215,299.0,0.00062635343,9.570155e-05,0.0011156211,4.0399684e-07,0.0021453085,-128,layer_normalization/FusedBatchNormV35
ADD,219,299.0,1.750251e-05,-0.0009856218,0.0009960888,9.727723e-07,0.00214923,-128,layer_normalization/FusedBatchNormV36
RSQRT,223,299.0,2.093696,-1.1300216,5.81776,6.589929,0.061748423,-128,layer_normalization/FusedBatchNormV37
MUL,227,299.0,0.0,0.0,0.0,0.0,0.061748423,-128,layer_normalization/FusedBatchNormV38
MUL,231,76544.0,0.011439128,9.682664e-05,0.57088745,0.00013091402,0.03767274,-43,layer_normalization/FusedBatchNormV39
MUL,235,299.0,0.0020326248,0.00085591496,0.0046140268,5.323202e-06,0.009349478,-128,layer_normalization/FusedBatchNormV310
SUB,239,299.0,9.463798e-09,-2.187571e-09,7.215749e-08,1.783563e-16,0.009349478,127,layer_normalization/FusedBatchNormV311
ADD,243,76544.0,0.011445041,-0.00030946726,0.9337471,0.00013158719,0.034480996,-15,layer_normalization/FusedBatchNormV312
TRANSPOSE,247,76544.0,0.0,0.0,0.0,0.0,0.034480996,-15,layer_normalization/FusedBatchNormV313
RESHAPE,251,76544.0,0.0,0.0,0.0,0.0,0.034480996,-15,layer_normalization/Reshape_1
MUL,255,76544.0,0.009599166,7.276021e-05,0.116280496,9.2152724e-05,0.033749398,-22,layer_normalization/mul_3
ADD,259,76544.0,0.009853122,5.560907e-05,0.017309867,9.70905e-05,0.034048904,-22,layer_normalization/add
RESHAPE,270,76544.0,0.0,0.0,0.0,0.0,0.034048904,-22,multi_headed_attention/dense/Tensordot/Reshape
FULLY_CONNECTED,274,38272.0,0.01795899,0.0006660283,0.68537396,0.0003231538,0.053291753,-4,multi_headed_attention/dense/Tensordot/MatMul2
RESHAPE,278,38272.0,0.0,0.0,0.0,0.0,0.053291753,-4,multi_headed_attention/dense/Tensordot
ADD,282,38272.0,0.015748326,-0.0005518137,0.027185326,0.00024833603,0.05359447,-4,multi_headed_attention/dense/BiasAdd
RESHAPE,289,38272.0,0.0,0.0,0.0,0.0,0.05359447,-4,multi_headed_attention/Reshape
TRANSPOSE,293,38272.0,0.0,0.0,0.0,0.0,0.05359447,-4,multi_headed_attention/transpose
FULLY_CONNECTED,297,38272.0,0.02010872,-0.00012536846,0.062256005,0.00040440317,0.06298771,-12,multi_headed_attention/dense_1/Tensordot/MatMul1
RESHAPE,301,38272.0,0.0,0.0,0.0,0.0,0.06298771,-12,multi_headed_attention/dense_1/Tensordot
ADD,305,38272.0,0.017984878,0.000866545,0.032030977,0.00032424802,0.06332643,-12,multi_headed_attention/dense_1/BiasAdd
RESHAPE,312,38272.0,0.0,0.0,0.0,0.0,0.06332643,-12,multi_headed_attention/Reshape_1
TRANSPOSE,316,38272.0,0.0,0.0,0.0,0.0,0.06332643,-12,multi_headed_attention/transpose_1
BATCH_MATMUL,320,178802.0,0.89580786,0.0028736698,2.2783709,0.80248564,3.1022,-19,multi_headed_attention/dot_product_attention/MatMul
MUL,324,178802.0,2.3419005e-07,2.5669075e-07,2.755015e-06,1.220518e-13,0.27419832,-19,multi_headed_attention/dot_product_attention/truediv;multi_headed_attention/dot_product_attention/Sqrt1
