Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.422, 1.422, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.422, 1.422, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.422, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1422
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.006, 0.00362, 0.00586223%, 0.00586223%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.8, 0.66648, 1.0793%, 1.08516%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.354, 0.38144, 0.617704%, 1.70286%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00178, 0.00288253%, 1.70575%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 0.00078, 0.00126313%, 1.70701%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.469, 0.472, 0.764357%, 2.47137%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.062, 0.06308, 0.102152%, 2.57352%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.164, 0.16624, 0.269209%, 2.84273%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00108, 0.00174895%, 2.84448%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00064, 0.00103642%, 2.84551%, 0, 1, [Shape]:9
FILL, 0.033, 0.03382, 0.0547681%, 2.90028%, 0, 1, [BroadcastTo]:10
MUL, 0.242, 0.25074, 0.406049%, 3.30633%, 0, 1, [BroadcastTo1]:11
ADD, 0.131, 0.12166, 0.197016%, 3.50335%, 0, 1, [add]:12
SHAPE, 0.001, 0.00052, 0.000842088%, 3.50419%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.00112, 0.00181373%, 3.506%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00066, 0.0010688%, 3.50707%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00052, 0.000842088%, 3.50791%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.002, 0.00134, 0.00217%, 3.51008%, 0, 1, [layer_normalization/ones]:17
FILL, 0.001, 0.0012, 0.00194328%, 3.51203%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.006, 0.00608, 0.00984596%, 3.52187%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.107, 0.10142, 0.16424%, 3.68611%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.305, 0.26912, 0.435813%, 4.12193%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.075, 0.0747, 0.120969%, 4.24289%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.152, 0.15764, 0.255282%, 4.49818%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.073, 0.0784, 0.126961%, 4.62514%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.006, 0.00566, 0.00916581%, 4.6343%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
