Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.276, 0.276, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.276, 0.276, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.276, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=276
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.001, 0.00026, 0.00126853%, 0.00126853%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.157, 0.15068, 0.735161%, 0.73643%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.056, 0.04142, 0.202086%, 0.938516%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 0.00014, 0.000683054%, 0.939199%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 8e-05, 0.000390317%, 0.93959%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.104, 0.0856, 0.417639%, 1.35723%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00936, 0.045667%, 1.4029%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.026, 0.02148, 0.1048%, 1.5077%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 6e-05, 0.000292737%, 1.50799%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00014, 0.000683054%, 1.50867%, 0, 1, [Shape]:9
FILL, 0.007, 0.0076, 0.0370801%, 1.54575%, 0, 1, [BroadcastTo]:10
MUL, 0.01, 0.01024, 0.0499605%, 1.59571%, 0, 1, [BroadcastTo1]:11
ADD, 0.017, 0.01482, 0.0723062%, 1.66802%, 0, 1, [add]:12
SHAPE, 0, 6e-05, 0.000292737%, 1.66831%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.0002, 0.000975792%, 1.66929%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.0001, 0.000487896%, 1.66977%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 4e-05, 0.000195158%, 1.66997%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.00012, 0.000585475%, 1.67056%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.0001, 0.000487896%, 1.67104%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.00046, 0.00224432%, 1.67329%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.035, 0.02998, 0.146271%, 1.81956%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.044, 0.03122, 0.152321%, 1.97188%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.02, 0.01792, 0.0874309%, 2.05931%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.029, 0.02224, 0.108508%, 2.16782%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.017, 0.01432, 0.0698667%, 2.23769%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.00034, 0.00165885%, 2.23934%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.0008, 0.00390317%, 2.24325%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00084, 0.00409832%, 2.24735%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.025, 0.02118, 0.103336%, 2.35068%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.00064, 0.00312253%, 2.3538%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.001, 0.0006, 0.00292737%, 2.35673%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.023, 0.02164, 0.105581%, 2.46231%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.028, 0.0211, 0.102946%, 2.56526%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0, 0.00012, 0.000585475%, 2.56584%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.02, 0.01856, 0.0905535%, 2.6564%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.024, 0.02374, 0.115826%, 2.77222%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 0.00012, 0.000585475%, 2.77281%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 8e-05, 0.000390317%, 2.7732%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0.001, 0.00014, 0.000683054%, 2.77388%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0, 0.00016, 0.000780633%, 2.77466%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 4e-05, 0.000195158%, 2.77486%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 0, 0%, 2.77486%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00026, 0.00126853%, 2.77613%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.008, 0.0094, 0.0458622%, 2.82199%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.452, 0.44808, 2.18616%, 5.00815%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 8e-05, 0.000390317%, 5.00854%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.006, 0.0053, 0.0258585%, 5.0344%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0, 0.0001, 0.000487896%, 5.03489%, 0, 1, [multi_headed_attention/Shape]:47
STRIDED_SLICE, 0, 8e-05, 0.000390317%, 5.03528%, 0, 1, [multi_headed_attention/strided_slice]:48
PACK, 0, 0.00034, 0.00165885%, 5.03694%, 0, 1, [multi_headed_attention/Reshape/shape]:49
RESHAPE, 0.015, 0.01448, 0.0706473%, 5.10759%, 0, 1, [multi_headed_attention/Reshape]:50
TRANSPOSE, 0.024, 0.02148, 0.1048%, 5.21239%, 0, 1, [multi_headed_attention/transpose]:51
FULLY_CONNECTED, 0.448, 0.44566, 2.17436%, 7.38674%, 0, 1, [multi_headed_attention/dense_1/Tensordot/MatMul1]:52
RESHAPE, 0, 6e-05, 0.000292737%, 7.38703%, 0, 1, [multi_headed_attention/dense_1/Tensordot]:53
ADD, 0.005, 0.0052, 0.0253706%, 7.41241%, 0, 1, [multi_headed_attention/dense_1/BiasAdd]:54
SHAPE, 0, 2e-05, 9.75792e-05%, 7.4125%, 0, 1, [multi_headed_attention/Shape_2]:55
STRIDED_SLICE, 0, 0.0001, 0.000487896%, 7.41299%, 0, 1, [multi_headed_attention/strided_slice_2]:56
PACK, 0.001, 0.0006, 0.00292737%, 7.41592%, 0, 1, [multi_headed_attention/Reshape_1/shape]:57
