Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.386, 1.386, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.386, 1.386, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.386, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1386
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.006, 0.00426, 0.00636029%, 0.00636029%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.261, 0.26722, 0.398966%, 0.405327%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.287, 0.28474, 0.425124%, 0.830451%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00192, 0.00286661%, 0.833317%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.002, 0.00108, 0.00161247%, 0.83493%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.514, 0.52372, 0.781927%, 1.61686%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.063, 0.06208, 0.092687%, 1.70954%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.13, 0.12858, 0.191973%, 1.90152%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00114, 0.00170205%, 1.90322%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00058, 0.000865955%, 1.90409%, 0, 1, [Shape]:9
FILL, 0.03, 0.03078, 0.0459553%, 1.95004%, 0, 1, [BroadcastTo]:10
MUL, 0.196, 0.13852, 0.206814%, 2.15685%, 0, 1, [BroadcastTo1]:11
ADD, 0.104, 0.09096, 0.135806%, 2.29266%, 0, 1, [add]:12
SHAPE, 0.001, 0.00044, 0.000656931%, 2.29332%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.0014, 0.00209024%, 2.29541%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00052, 0.000776373%, 2.29618%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00058, 0.000865955%, 2.29705%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.002, 0.00118, 0.00176177%, 2.29881%, 0, 1, [layer_normalization/ones]:17
FILL, 0.001, 0.00104, 0.00155275%, 2.30036%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.007, 0.00584, 0.00871927%, 2.30908%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.097, 0.09652, 0.144107%, 2.45319%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.193, 0.1868, 0.278897%, 2.73209%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.073, 0.07272, 0.108573%, 2.84066%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.46, 0.08336, 0.124459%, 2.96512%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.075, 0.06332, 0.0945384%, 3.05966%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.005, 0.00484, 0.00722624%, 3.06688%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
