Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.281, 0.281, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.281, 0.281, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.281, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=281
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.001, 0.000189394, 0.00262009%, 0.00262009%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.05, 0.0512045, 0.708367%, 0.710987%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.039, 0.0379545, 0.525066%, 1.23605%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 9.84848e-05, 0.00136245%, 1.23742%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 5.30303e-05, 0.000733625%, 1.23815%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.102, 0.102341, 1.41579%, 2.65394%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00881061, 0.121887%, 2.77583%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.025, 0.0256818, 0.355284%, 3.13111%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 0.000113636, 0.00157205%, 3.13268%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 8.33333e-05, 0.00115284%, 3.13384%, 0, 1, [Shape]:9
FILL, 0.046, 0.0471894, 0.652821%, 3.78666%, 0, 1, [BroadcastTo]:10
MUL, 0.007, 0.00750758, 0.10386%, 3.89052%, 0, 1, [BroadcastTo1]:11
ADD, 0.023, 0.0233561, 0.323109%, 4.21363%, 0, 1, [add]:12
SHAPE, 0, 5.30303e-05, 0.000733625%, 4.21436%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.000151515, 0.00209607%, 4.21646%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 8.33333e-05, 0.00115284%, 4.21761%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0.000106061, 0.00146725%, 4.21908%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.00019697, 0.00272489%, 4.2218%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.000219697, 0.0030393%, 4.22484%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.000265152, 0.00366812%, 4.22851%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.032, 0.0324167, 0.448454%, 4.67696%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.024, 0.025803, 0.356961%, 5.03393%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.019, 0.0194091, 0.268507%, 5.30243%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.019, 0.0219924, 0.304245%, 5.60668%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.016, 0.0163788, 0.226585%, 5.83326%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.000295455, 0.00408734%, 5.83735%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.000818182, 0.0113188%, 5.84867%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00101515, 0.0140437%, 5.86271%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.019, 0.0204091, 0.282341%, 6.14505%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.000628788, 0.0086987%, 6.15375%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0, 0.000272727, 0.00377293%, 6.15752%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.023, 0.0242273, 0.335162%, 6.49269%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.02, 0.0201439, 0.278673%, 6.77136%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0, 0.000128788, 0.00178166%, 6.77314%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.014, 0.0140606, 0.194515%, 6.96766%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.024, 0.0264545, 0.365974%, 7.33363%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 3.0303e-05, 0.000419214%, 7.33405%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 4.54545e-05, 0.000628821%, 7.33468%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0, 9.84848e-05, 0.00136245%, 7.33604%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0, 0.000113636, 0.00157205%, 7.33761%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 4.54545e-05, 0.000628821%, 7.33824%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 5.30303e-05, 0.000733625%, 7.33897%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.000227273, 0.00314411%, 7.34212%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.036, 0.0438864, 0.607127%, 7.94925%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.087, 0.0889545, 1.2306%, 9.17985%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 0.000113636, 0.00157205%, 9.18142%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.028, 0.0280152, 0.387564%, 9.56898%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0.001, 4.54545e-05, 0.000628821%, 9.56961%, 0, 1, [multi_headed_attention/Shape]:47
