Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.05, 1.05, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.05, 1.05, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.05, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1050
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.006, 0.00406, 0.00592882%, 0.00592883%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.426, 0.28752, 0.419866%, 0.425795%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.375, 0.3461, 0.50541%, 0.931205%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 0.00168, 0.00245331%, 0.933658%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 0.00074, 0.00108062%, 0.934739%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.528, 0.54992, 0.803049%, 1.73779%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.061, 0.06292, 0.0918822%, 1.82967%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.125, 0.14336, 0.209349%, 2.03902%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00124, 0.00181077%, 2.04083%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0.001, 0.00062, 0.000905387%, 2.04174%, 0, 1, [Shape]:9
FILL, 0.03, 0.03114, 0.0454738%, 2.08721%, 0, 1, [BroadcastTo]:10
MUL, 0.14, 0.14146, 0.206574%, 2.29378%, 0, 1, [BroadcastTo1]:11
ADD, 0.099, 0.1025, 0.149681%, 2.44346%, 0, 1, [add]:12
SHAPE, 0, 0.00032, 0.000467297%, 2.44393%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.00138, 0.00201522%, 2.44595%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0.001, 0.00064, 0.000934593%, 2.44688%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0.0007, 0.00102221%, 2.4479%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.00104, 0.00151871%, 2.44942%, 0, 1, [layer_normalization/ones]:17
FILL, 0.001, 0.001, 0.0014603%, 2.45088%, 0, 1, [layer_normalization/zeros]:18
