Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.223, 0.223, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.223, 0.223, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.223, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=223
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.000183824, 0.00259913%, 0.00259913%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.053, 0.0525368, 0.742832%, 0.745431%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.038, 0.0362132, 0.512029%, 1.25746%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 9.55882e-05, 0.00135155%, 1.25881%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0.000132353, 0.00187138%, 1.26068%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.104, 0.10211, 1.44377%, 2.70445%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00883088, 0.124862%, 2.82931%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.026, 0.0267868, 0.378746%, 3.20806%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 5.88235e-05, 0.000831723%, 3.20889%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0.001, 0.000102941, 0.00145551%, 3.21035%, 0, 1, [Shape]:9
FILL, 0.048, 0.047375, 0.669849%, 3.88019%, 0, 1, [BroadcastTo]:10
MUL, 0.007, 0.00763971, 0.10802%, 3.98821%, 0, 1, [BroadcastTo1]:11
ADD, 0.024, 0.0229853, 0.324996%, 4.31321%, 0, 1, [add]:12
SHAPE, 0, 8.08824e-05, 0.00114362%, 4.31435%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.000147059, 0.00207931%, 4.31643%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.000110294, 0.00155948%, 4.31799%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 8.82353e-05, 0.00124758%, 4.31924%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.000389706, 0.00551016%, 4.32475%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.000235294, 0.00332689%, 4.32808%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.000419118, 0.00592602%, 4.334%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.031, 0.0304265, 0.430209%, 4.76421%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.027, 0.0256324, 0.362423%, 5.12664%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.019, 0.018625, 0.263344%, 5.38998%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.022, 0.0208456, 0.294742%, 5.68472%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.016, 0.0151912, 0.214792%, 5.89951%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.001, 0.000279412, 0.00395068%, 5.90346%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
