Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.642, 0.642, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.642, 0.642, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.642, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=642
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.005, 0.00364, 0.00617653%, 0.00617653%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.895, 0.6909, 1.17235%, 1.17853%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.33, 0.33958, 0.576216%, 1.75475%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00218, 0.00369913%, 1.75844%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.002, 0.001, 0.00169685%, 1.76014%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.484, 0.49292, 0.836411%, 2.59655%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.063, 0.0631, 0.107071%, 2.70362%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.124, 0.1288, 0.218554%, 2.92218%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00118, 0.00200228%, 2.92418%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
