Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.266, 0.266, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.266, 0.266, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.266, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=266
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.00022, 0.00107202%, 0.00107202%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.182, 0.1528, 0.744565%, 0.745637%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.042, 0.03654, 0.178052%, 0.92369%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 0.0002, 0.000974562%, 0.924664%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 8e-05, 0.000389825%, 0.925054%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.09, 0.08616, 0.419841%, 1.3449%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00884, 0.0430756%, 1.38797%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.018, 0.01908, 0.0929732%, 1.48094%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.001, 0.00016, 0.00077965%, 1.48172%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 6e-05, 0.000292369%, 1.48202%, 0, 1, [Shape]:9
FILL, 0.008, 0.00714, 0.0347919%, 1.51681%, 0, 1, [BroadcastTo]:10
MUL, 0.01, 0.01084, 0.0528213%, 1.56963%, 0, 1, [BroadcastTo1]:11
ADD, 0.016, 0.01372, 0.066855%, 1.63648%, 0, 1, [add]:12
SHAPE, 0, 6e-05, 0.000292369%, 1.63678%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 8e-05, 0.000389825%, 1.63717%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 8e-05, 0.000389825%, 1.63756%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0.001, 0.00014, 0.000682193%, 1.63824%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 6e-05, 0.000292369%, 1.63853%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.00016, 0.00077965%, 1.63931%, 0, 1, [layer_normalization/zeros]:18
PACK, 0, 0.0004, 0.00194912%, 1.64126%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.022, 0.02574, 0.125426%, 1.76669%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.038, 0.03002, 0.146282%, 1.91297%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.014, 0.01486, 0.07241%, 1.98538%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.021, 0.01834, 0.0893673%, 2.07474%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.014, 0.01374, 0.0669524%, 2.1417%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.00028, 0.00136439%, 2.14306%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.00084, 0.00409316%, 2.14716%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00082, 0.0039957%, 2.15115%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.02, 0.01802, 0.087808%, 2.23896%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.001, 0.00487281%, 2.24383%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.001, 0.00084, 0.00409316%, 2.24792%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.022, 0.0204, 0.0994053%, 2.34733%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.017, 0.01632, 0.0795243%, 2.42685%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0, 0.0002, 0.000974562%, 2.42783%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.016, 0.0144, 0.0701685%, 2.498%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.023, 0.02386, 0.116265%, 2.61426%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 6e-05, 0.000292369%, 2.61455%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 8e-05, 0.000389825%, 2.61494%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0.001, 8e-05, 0.000389825%, 2.61533%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0, 0.00014, 0.000682193%, 2.61602%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 6e-05, 0.000292369%, 2.61631%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 0.00014, 0.000682193%, 2.61699%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00038, 0.00185167%, 2.61884%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.011, 0.01026, 0.049995%, 2.66884%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.451, 0.45212, 2.20309%, 4.87193%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 8e-05, 0.000389825%, 4.87232%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.005, 0.0052, 0.0253386%, 4.89766%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0, 4e-05, 0.000194912%, 4.89786%, 0, 1, [multi_headed_attention/Shape]:47
STRIDED_SLICE, 0.001, 0.00012, 0.000584737%, 4.89844%, 0, 1, [multi_headed_attention/strided_slice]:48
PACK, 0, 0.00038, 0.00185167%, 4.90029%, 0, 1, [multi_headed_attention/Reshape/shape]:49
RESHAPE, 0.018, 0.0134, 0.0652957%, 4.96559%, 0, 1, [multi_headed_attention/Reshape]:50
TRANSPOSE, 0.017, 0.01796, 0.0875157%, 5.0531%, 0, 1, [multi_headed_attention/transpose]:51
FULLY_CONNECTED, 0.458, 0.45084, 2.19686%, 7.24996%, 0, 1, [multi_headed_attention/dense_1/Tensordot/MatMul1]:52
RESHAPE, 0, 4e-05, 0.000194912%, 7.25016%, 0, 1, [multi_headed_attention/dense_1/Tensordot]:53
ADD, 0.005, 0.00532, 0.0259233%, 7.27608%, 0, 1, [multi_headed_attention/dense_1/BiasAdd]:54
SHAPE, 0, 6e-05, 0.000292369%, 7.27637%, 0, 1, [multi_headed_attention/Shape_2]:55
STRIDED_SLICE, 0, 4e-05, 0.000194912%, 7.27657%, 0, 1, [multi_headed_attention/strided_slice_2]:56
PACK, 0.001, 0.00032, 0.0015593%, 7.27813%, 0, 1, [multi_headed_attention/Reshape_1/shape]:57
RESHAPE, 0.005, 0.00638, 0.0310885%, 7.30922%, 0, 1, [multi_headed_attention/Reshape_1]:58
TRANSPOSE, 0.032, 0.0289, 0.140824%, 7.45004%, 0, 1, [multi_headed_attention/transpose_1]:59
BATCH_MATMUL, 0.134, 0.135, 0.657829%, 8.10787%, 0, 1, [multi_headed_attention/dot_product_attention/MatMul]:60
MUL, 0.085, 0.08726, 0.425201%, 8.53307%, 0, 1, [multi_headed_attention/dot_product_attention/truediv;multi_headed_attention/dot_product_attention/Sqrt1]:61
SOFTMAX, 0.101, 0.10128, 0.493518%, 9.02659%, 0, 1, [multi_headed_attention/dot_product_attention/Softmax]:62
FULLY_CONNECTED, 0.453, 0.45704, 2.22707%, 11.2537%, 0, 1, [multi_headed_attention/dense_2/Tensordot/MatMul1]:63
RESHAPE, 0, 8e-05, 0.000389825%, 11.254%, 0, 1, [multi_headed_attention/dense_2/Tensordot]:64
ADD, 0.005, 0.00516, 0.0251437%, 11.2792%, 0, 1, [multi_headed_attention/dense_2/BiasAdd]:65
SHAPE, 0, 0.0001, 0.000487281%, 11.2797%, 0, 1, [multi_headed_attention/Shape_4]:66
STRIDED_SLICE, 0, 4e-05, 0.000194912%, 11.2799%, 0, 1, [multi_headed_attention/strided_slice_4]:67
PACK, 0.001, 0.00046, 0.00224149%, 11.2821%, 0, 1, [multi_headed_attention/Reshape_2/shape]:68
RESHAPE, 0.011, 0.01188, 0.057889%, 11.34%, 0, 1, [multi_headed_attention/Reshape_2]:69
TRANSPOSE, 0.031, 0.03176, 0.15476%, 11.4948%, 0, 1, [multi_headed_attention/transpose_2]:70
BATCH_MATMUL, 0.155, 0.1529, 0.745053%, 12.2398%, 0, 1, [multi_headed_attention/dot_product_attention/MatMul_1]:71
TRANSPOSE, 0.034, 0.0321, 0.156417%, 12.3962%, 0, 1, [multi_headed_attention/transpose_3]:72
SHAPE, 0, 0.00014, 0.000682193%, 12.3969%, 0, 1, [multi_headed_attention/Shape_6]:73
STRIDED_SLICE, 0, 4e-05, 0.000194912%, 12.3971%, 0, 1, [multi_headed_attention/strided_slice_6]:74
PACK, 0.001, 0.0005, 0.0024364%, 12.3995%, 0, 1, [multi_headed_attention/Reshape_3/shape]:75
RESHAPE, 0.008, 0.00888, 0.0432706%, 12.4428%, 0, 1, [multi_headed_attention/Reshape_3]:76
SHAPE, 0, 8e-05, 0.000389825%, 12.4432%, 0, 1, [multi_headed_attention/dense_3/Tensordot/Shape]:77
GATHER, 0, 0.0001, 0.000487281%, 12.4437%, 0, 1, [multi_headed_attention/dense_3/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:78
REDUCE_PROD, 0, 8e-05, 0.000389825%, 12.4441%, 0, 1, [multi_headed_attention/dense_3/Tensordot/Prod]:79
CONCATENATION, 0, 8e-05, 0.000389825%, 12.4445%, 0, 1, [multi_headed_attention/dense_3/Tensordot/concat_1]:80
GATHER, 0.001, 4e-05, 0.000194912%, 12.4447%, 0, 1, [multi_headed_attention/dense_3/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:81
REDUCE_PROD, 0, 8e-05, 0.000389825%, 12.4451%, 0, 1, [multi_headed_attention/dense_3/Tensordot/Prod_1]:82
PACK, 0, 0.00024, 0.00116947%, 12.4462%, 0, 1, [multi_headed_attention/dense_3/Tensordot/stack]:83
RESHAPE, 0.006, 0.00652, 0.0317707%, 12.478%, 0, 1, [multi_headed_attention/dense_3/Tensordot/Reshape;multi_headed_attention/Reshape_3]:84
FULLY_CONNECTED, 0.53, 0.52196, 2.54341%, 15.0214%, 0, 1, [multi_headed_attention/dense_3/Tensordot/MatMul1]:85
RESHAPE, 0, 6e-05, 0.000292369%, 15.0217%, 0, 1, [multi_headed_attention/dense_3/Tensordot]:86
ADD, 0.01, 0.00982, 0.047851%, 15.0696%, 0, 1, [multi_headed_attention/dense_3/BiasAdd]:87
ADD, 0.009, 0.00944, 0.0459993%, 15.1156%, 0, 1, [add_normalization_1/add]:88
SHAPE, 0, 4e-05, 0.000194912%, 15.1157%, 0, 1, [add_normalization_1/layer_normalization_1/Shape]:89
STRIDED_SLICE, 0, 4e-05, 0.000194912%, 15.1159%, 0, 1, [add_normalization_1/layer_normalization_1/strided_slice]:90
MUL, 0, 0.0002, 0.000974562%, 15.1169%, 0, 1, [add_normalization_1/layer_normalization_1/mul_1]:91
RESHAPE, 0, 0.00012, 0.000584737%, 15.1175%, 0, 1, [add_normalization_1/layer_normalization_1/ones/packed]:92
FILL, 0, 0.00022, 0.00107202%, 15.1186%, 0, 1, [add_normalization_1/layer_normalization_1/ones]:93
FILL, 0, 6e-05, 0.000292369%, 15.1189%, 0, 1, [add_normalization_1/layer_normalization_1/zeros]:94
PACK, 0.001, 0.00038, 0.00185167%, 15.1207%, 0, 1, [add_normalization_1/layer_normalization_1/Reshape/shape]:95
RESHAPE, 0.032, 0.02262, 0.110223%, 15.2309%, 0, 1, [add_normalization_1/layer_normalization_1/Reshape]:96
TRANSPOSE, 0.033, 0.03118, 0.151934%, 15.3829%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV3]:97
MEAN, 0.014, 0.01506, 0.0733845%, 15.4563%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV31]:98
SQUARED_DIFFERENCE, 0.021, 0.01858, 0.0905368%, 15.5468%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV32]:99
MEAN, 0.015, 0.01364, 0.0664651%, 15.6133%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV33]:100
ADD, 0.001, 0.00038, 0.00185167%, 15.6151%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV34]:101
RSQRT, 0, 0.00074, 0.00360588%, 15.6187%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV35]:102
MUL, 0, 0.00088, 0.00428807%, 15.623%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV36]:103
MUL, 0.02, 0.01826, 0.0889775%, 15.712%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV37]:104
MUL, 0.001, 0.0011, 0.00536009%, 15.7173%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV38]:105
SUB, 0, 0.00032, 0.0015593%, 15.7189%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV39]:106
ADD, 0.021, 0.02, 0.0974562%, 15.8164%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV310]:107
TRANSPOSE, 0.02, 0.01946, 0.0948249%, 15.9112%, 0, 1, [add_normalization_1/layer_normalization_1/FusedBatchNormV311]:108
RESHAPE, 0.001, 0.0001, 0.000487281%, 15.9117%, 0, 1, [add_normalization_1/layer_normalization_1/Reshape_1]:109
MUL, 0.016, 0.01536, 0.0748464%, 15.9865%, 0, 1, [add_normalization_1/layer_normalization_1/mul_3]:110
ADD, 0.027, 0.0237, 0.115486%, 16.102%, 0, 1, [add_normalization_1/layer_normalization_1/add]:111
SHAPE, 0, 0.0001, 0.000487281%, 16.1025%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/Shape]:112
GATHER, 0, 2e-05, 9.74562e-05%, 16.1026%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:113
REDUCE_PROD, 0, 8e-05, 0.000389825%, 16.103%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/Prod]:114
CONCATENATION, 0, 0.00012, 0.000584737%, 16.1036%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/concat_1]:115
GATHER, 0, 4e-05, 0.000194912%, 16.1038%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:116
REDUCE_PROD, 0, 8e-05, 0.000389825%, 16.1041%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/Prod_1]:117
PACK, 0.001, 0.0003, 0.00146184%, 16.1056%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/stack]:118
RESHAPE, 0.011, 0.01106, 0.0538933%, 16.1595%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/Reshape]:119
FULLY_CONNECTED, 3.228, 3.25288, 15.8507%, 32.0102%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot/MatMul1]:120
RESHAPE, 0, 0.0001, 0.000487281%, 32.0107%, 0, 1, [positionwise_feed_forward/dense_4/Tensordot]:121
ADD, 0.039, 0.03812, 0.185752%, 32.1964%, 0, 1, [positionwise_feed_forward/dense_4/BiasAdd]:122
POW, 0.185, 0.18678, 0.910143%, 33.1066%, 0, 1, [positionwise_feed_forward/GELU/Pow]:123
MUL, 0.017, 0.01662, 0.0809861%, 33.1875%, 0, 1, [positionwise_feed_forward/GELU/mul_1]:124
ADD, 0.037, 0.03674, 0.179027%, 33.3666%, 0, 1, [positionwise_feed_forward/GELU/add]:125
MUL, 0.016, 0.01638, 0.0798166%, 33.4464%, 0, 1, [positionwise_feed_forward/GELU/mul_2]:126
TANH, 0.063, 0.0554, 0.269954%, 33.7163%, 0, 1, [positionwise_feed_forward/GELU/Tanh]:127
ADD, 0.063, 0.06428, 0.313224%, 34.0296%, 0, 1, [positionwise_feed_forward/GELU/add_1]:128
MUL, 0.068, 0.07708, 0.375596%, 34.4052%, 0, 1, [positionwise_feed_forward/GELU/mul]:129
MUL, 0.024, 0.02396, 0.116753%, 34.5219%, 0, 1, [positionwise_feed_forward/GELU/mul_3]:130
SHAPE, 0, 4e-05, 0.000194912%, 34.5221%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/Shape]:131
GATHER, 0, 2e-05, 9.74562e-05%, 34.5222%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:132
REDUCE_PROD, 0, 4e-05, 0.000194912%, 34.5224%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/Prod]:133
CONCATENATION, 0, 8e-05, 0.000389825%, 34.5228%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/concat_1]:134
GATHER, 0, 6e-05, 0.000292369%, 34.5231%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:135
REDUCE_PROD, 0, 0.00014, 0.000682193%, 34.5238%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/Prod_1]:136
PACK, 0.001, 0.00036, 0.00175421%, 34.5255%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/stack]:137
RESHAPE, 0.06, 0.06024, 0.293538%, 34.8191%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/Reshape]:138
FULLY_CONNECTED, 2.999, 3.00564, 14.6459%, 49.465%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot/MatMul1]:139
RESHAPE, 0, 8e-05, 0.000389825%, 49.4654%, 0, 1, [positionwise_feed_forward/dense_5/Tensordot]:140
