Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.249, 1.249, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.249, 1.249, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.249, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1249
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.005, 0.00378, 0.00623567%, 0.00623567%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.851, 0.6645, 1.09619%, 1.10243%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.358, 0.38616, 0.637028%, 1.73946%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.002, 0.00282, 0.00465201%, 1.74411%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 0.00138, 0.00227652%, 1.74638%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.483, 0.48866, 0.806117%, 2.5525%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.063, 0.0629, 0.103763%, 2.65626%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.125, 0.12882, 0.212508%, 2.86877%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.002, 0.00148, 0.00244148%, 2.87121%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00066, 0.00108877%, 2.8723%, 0, 1, [Shape]:9
FILL, 0.035, 0.03542, 0.0584306%, 2.93073%, 0, 1, [BroadcastTo]:10
MUL, 0.269, 0.2516, 0.415052%, 3.34578%, 0, 1, [BroadcastTo1]:11
ADD, 0.143, 0.13034, 0.215015%, 3.5608%, 0, 1, [add]:12
SHAPE, 0.001, 0.00044, 0.000725846%, 3.56153%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.002, 0.0012, 0.00197958%, 3.56351%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0.001, 0.00054, 0.00089081%, 3.5644%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0.00044, 0.000725846%, 3.56512%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.0013, 0.00214454%, 3.56727%, 0, 1, [layer_normalization/ones]:17
FILL, 0.002, 0.0012, 0.00197958%, 3.56925%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.007, 0.00642, 0.0105907%, 3.57984%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.114, 0.09952, 0.164173%, 3.74401%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.296, 0.26262, 0.433231%, 4.17724%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.119, 0.08372, 0.138109%, 4.31535%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.123, 0.12152, 0.200465%, 4.51581%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.067, 0.06776, 0.11178%, 4.62759%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.006, 0.0061, 0.0100629%, 4.63766%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.003, 0.00412, 0.00679655%, 4.64445%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.007, 0.00698, 0.0115145%, 4.65597%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.074, 0.07422, 0.122437%, 4.77841%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.003, 0.00352, 0.00580676%, 4.78421%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.006, 0.00414, 0.00682955%, 4.79104%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.072, 0.07362, 0.121447%, 4.91249%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.095, 0.09072, 0.149656%, 5.06215%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0.002, 0.00138, 0.00227652%, 5.06442%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.106, 0.10356, 0.170838%, 5.23526%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.065, 0.0649, 0.107062%, 5.34232%, 0, 1, [layer_normalization/add]:35
