Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.264, 0.264, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.264, 0.264, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.264, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=264
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.001, 0.00016, 0.000766188%, 0.000766188%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.174, 0.15786, 0.75594%, 0.756707%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.04, 0.0424, 0.20304%, 0.959746%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 0.00018, 0.000861962%, 0.960608%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0, 0%, 0.960608%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.09, 0.0882, 0.422361%, 1.38297%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00868, 0.0415657%, 1.42454%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.033, 0.02146, 0.102765%, 1.5273%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 0.00012, 0.000574641%, 1.52787%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 8e-05, 0.000383094%, 1.52826%, 0, 1, [Shape]:9
FILL, 0.008, 0.00906, 0.0433854%, 1.57164%, 0, 1, [BroadcastTo]:10
MUL, 0.011, 0.01084, 0.0519092%, 1.62355%, 0, 1, [BroadcastTo1]:11
ADD, 0.014, 0.01662, 0.0795878%, 1.70314%, 0, 1, [add]:12
SHAPE, 0, 4e-05, 0.000191547%, 1.70333%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.001, 0.0001, 0.000478868%, 1.70381%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 6e-05, 0.000287321%, 1.7041%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0.00014, 0.000670415%, 1.70477%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.0002, 0.000957735%, 1.70573%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 4e-05, 0.000191547%, 1.70592%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.0003, 0.0014366%, 1.70735%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.035, 0.03172, 0.151897%, 1.85925%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.035, 0.03154, 0.151035%, 2.01029%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.018, 0.01856, 0.0888778%, 2.09916%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.025, 0.02292, 0.109756%, 2.20892%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.017, 0.01604, 0.0768104%, 2.28573%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.00042, 0.00201124%, 2.28774%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.00074, 0.00354362%, 2.29129%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00092, 0.00440558%, 2.29569%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.02, 0.0201, 0.0962524%, 2.39194%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.00076, 0.00363939%, 2.39558%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.001, 0.0007, 0.00335207%, 2.39894%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.025, 0.02352, 0.11263%, 2.51156%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.021, 0.02028, 0.0971143%, 2.60868%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0, 8e-05, 0.000383094%, 2.60906%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.013, 0.01466, 0.070202%, 2.67926%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.025, 0.02672, 0.127953%, 2.80722%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 8e-05, 0.000383094%, 2.8076%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 8e-05, 0.000383094%, 2.80798%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0, 6e-05, 0.000287321%, 2.80827%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0, 0.0001, 0.000478868%, 2.80875%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 4e-05, 0.000191547%, 2.80894%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 8e-05, 0.000383094%, 2.80932%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00026, 0.00124506%, 2.81057%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.01, 0.00996, 0.0476952%, 2.85826%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.452, 0.45256, 2.16716%, 5.02543%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 0.00012, 0.000574641%, 5.026%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.006, 0.00518, 0.0248053%, 5.05081%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0, 6e-05, 0.000287321%, 5.0511%, 0, 1, [multi_headed_attention/Shape]:47
STRIDED_SLICE, 0, 8e-05, 0.000383094%, 5.05148%, 0, 1, [multi_headed_attention/strided_slice]:48
PACK, 0, 0.0005, 0.00239434%, 5.05387%, 0, 1, [multi_headed_attention/Reshape/shape]:49
RESHAPE, 0.013, 0.0153, 0.0732667%, 5.12714%, 0, 1, [multi_headed_attention/Reshape]:50
TRANSPOSE, 0.017, 0.0198, 0.0948158%, 5.22196%, 0, 1, [multi_headed_attention/transpose]:51
FULLY_CONNECTED, 0.454, 0.45412, 2.17463%, 7.39659%, 0, 1, [multi_headed_attention/dense_1/Tensordot/MatMul1]:52
RESHAPE, 0, 0.00012, 0.000574641%, 7.39716%, 0, 1, [multi_headed_attention/dense_1/Tensordot]:53
ADD, 0.005, 0.00518, 0.0248053%, 7.42197%, 0, 1, [multi_headed_attention/dense_1/BiasAdd]:54
SHAPE, 0, 0, 0%, 7.42197%, 0, 1, [multi_headed_attention/Shape_2]:55
STRIDED_SLICE, 0.001, 0.0001, 0.000478868%, 7.42245%, 0, 1, [multi_headed_attention/strided_slice_2]:56
PACK, 0, 0.00044, 0.00210702%, 7.42455%, 0, 1, [multi_headed_attention/Reshape_1/shape]:57
