Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.28, 0.28, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.28, 0.28, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.28, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=280
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0, 0.00028, 0.00126259%, 0.00126259%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.203, 0.16596, 0.748354%, 0.749617%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.052, 0.05252, 0.236826%, 0.986443%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0, 0.0002, 0.000901849%, 0.987344%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 6e-05, 0.000270555%, 0.987615%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.107, 0.10786, 0.486367%, 1.47398%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00914, 0.0412145%, 1.5152%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.03, 0.02686, 0.121118%, 1.63631%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 0.00012, 0.000541109%, 1.63686%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.0001, 0.000450925%, 1.63731%, 0, 1, [Shape]:9
FILL, 0.01, 0.00926, 0.0417556%, 1.67906%, 0, 1, [BroadcastTo]:10
MUL, 0.012, 0.01072, 0.0483391%, 1.7274%, 0, 1, [BroadcastTo1]:11
ADD, 0.019, 0.01876, 0.0845934%, 1.812%, 0, 1, [add]:12
SHAPE, 0, 0.00012, 0.000541109%, 1.81254%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 8e-05, 0.00036074%, 1.8129%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0.001, 0.0001, 0.000450925%, 1.81335%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 4e-05, 0.00018037%, 1.81353%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0, 0.00014, 0.000631294%, 1.81416%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.00016, 0.000721479%, 1.81488%, 0, 1, [layer_normalization/zeros]:18
PACK, 0.001, 0.00054, 0.00243499%, 1.81732%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.039, 0.03522, 0.158816%, 1.97613%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.04, 0.03506, 0.158094%, 2.13423%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.021, 0.02066, 0.093161%, 2.22739%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.03, 0.02864, 0.129145%, 2.35653%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.02, 0.0194, 0.0874794%, 2.44401%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0.001, 0.00036, 0.00162333%, 2.44563%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.00088, 0.00396814%, 2.4496%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00088, 0.00396814%, 2.45357%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.024, 0.02456, 0.110747%, 2.56432%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.00072, 0.00324666%, 2.56756%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0.001, 0.00058, 0.00261536%, 2.57018%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.028, 0.02878, 0.129776%, 2.69996%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.029, 0.02772, 0.124996%, 2.82495%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0.001, 0.0001, 0.000450925%, 2.8254%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.016, 0.01552, 0.0699835%, 2.89539%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.031, 0.03064, 0.138163%, 3.03355%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 6e-05, 0.000270555%, 3.03382%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 0.0001, 0.000450925%, 3.03427%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0, 0.00012, 0.000541109%, 3.03481%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0.001, 8e-05, 0.00036074%, 3.03517%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 8e-05, 0.00036074%, 3.03553%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 6e-05, 0.000270555%, 3.0358%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00028, 0.00126259%, 3.03707%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.009, 0.00876, 0.039501%, 3.07657%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.457, 0.46254, 2.08571%, 5.16227%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 0.00018, 0.000811664%, 5.16309%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.005, 0.0054, 0.0243499%, 5.18744%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
