op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
EXPAND_DIMS,46,599.0,0.034550086,0.005230869,0.060016695,0.0013255862,0.12139038,-124,cnn/conv1d/Conv1D/ExpandDims
CONV_2D,50,9584.0,0.008789783,-0.00046709724,0.034689516,8.000954e-05,0.049492944,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp;cnn/conv1d/Conv1D
RESHAPE,54,9584.0,7.366147e-08,-1.7477232e-08,2.6971946e-07,5.954681e-15,0.049492944,-128,cnn/conv1d/Relu;cnn/conv1d/BiasAdd;cnn/conv1d/Conv1D/Squeeze;cnn/conv1d/BiasAdd/ReadVariableOp
EXPAND_DIMS,58,9584.0,7.366147e-08,-1.7477232e-08,2.6971946e-07,5.954681e-15,0.049492944,-128,cnn/max_pooling1d/ExpandDims
MAX_POOL_2D,62,4800.0,7.8811816e-08,-1.9695362e-08,2.656841e-07,6.8688964e-15,0.049492944,-128,cnn/max_pooling1d/MaxPool
RESHAPE,66,4800.0,7.8811816e-08,-1.9695362e-08,2.656841e-07,6.8688964e-15,0.049492944,-128,cnn/max_pooling1d/Squeeze1
EXPAND_DIMS,70,4800.0,7.8811816e-08,-1.9695362e-08,2.656841e-07,6.8688964e-15,0.049492944,-128,cnn/conv1d_1/Conv1D/ExpandDims
CONV_2D,74,9600.0,0.01120784,-0.0018919918,0.04789535,0.00013138259,0.05894422,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp;cnn/conv1d_1/Conv1D
RESHAPE,78,9600.0,8.923768e-09,3.251805e-09,1.3510929e-07,1.3143434e-16,0.05894422,-128,cnn/conv1d_1/Relu;cnn/conv1d_1/BiasAdd;cnn/conv1d_1/Conv1D/Squeeze;cnn/conv1d_1/BiasAdd/ReadVariableOp
EXPAND_DIMS,82,9600.0,8.923768e-09,3.251805e-09,1.3510929e-07,1.3143434e-16,0.05894422,-128,cnn/max_pooling1d_1/ExpandDims
