Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.473, 1.473, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 1.473, 1.473, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 1.473, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=1473
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.005, 0.0036, 0.00592975%, 0.00592975%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.722, 0.62958, 1.03701%, 1.04294%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.77, 0.36548, 0.602001%, 1.64495%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 0.0021, 0.00345902%, 1.6484%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0.001, 0.00112, 0.00184481%, 1.65025%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.622, 0.4729, 0.778939%, 2.42919%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.094, 0.06272, 0.103309%, 2.5325%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.468, 0.13704, 0.225726%, 2.75822%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0.002, 0.0013, 0.0021413%, 2.76036%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0.001, 0.00074, 0.00121889%, 2.76158%, 0, 1, [Shape]:9
FILL, 0.079, 0.03584, 0.059034%, 2.82062%, 0, 1, [BroadcastTo]:10
MUL, 0.283, 0.25048, 0.412579%, 3.2332%, 0, 1, [BroadcastTo1]:11
ADD, 0.155, 0.13498, 0.222333%, 3.45553%, 0, 1, [add]:12
SHAPE, 0.001, 0.00072, 0.00118595%, 3.45671%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0.002, 0.00132, 0.00217424%, 3.45889%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00048, 0.000790633%, 3.45968%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 0.00042, 0.000691804%, 3.46037%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.00136, 0.00224013%, 3.46261%, 0, 1, [layer_normalization/ones]:17
