Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.439, 0.439, 100%, 100%, 0, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 0.439, 0.439, 100%, 100%, 0, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 0.439, 100%, 100%, 0, 1

Timings (microseconds): count=1 curr=439
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
EXPAND_DIMS, 0.001, 0.00028, 0.00130819%, 0.00130819%, 0, 1, [Conv1D/ExpandDims]:0
CONV_2D, 0.178, 0.16612, 0.77613%, 0.777439%, 0, 1, [BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp;Conv1D]:1
SQUARE, 0.063, 0.05542, 0.258928%, 1.03637%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp]:2
RESHAPE, 0.001, 0.0001, 0.000467211%, 1.03683%, 0, 1, [Square;BiasAdd;Conv1D/Squeeze;BiasAdd/ReadVariableOp1]:3
EXPAND_DIMS, 0, 0.0001, 0.000467211%, 1.0373%, 0, 1, [average_pooling1d/ExpandDims]:4
AVERAGE_POOL_2D, 0.108, 0.10776, 0.503466%, 1.54077%, 0, 1, [average_pooling1d/AvgPool]:5
ADD, 0.009, 0.00864, 0.040367%, 1.58113%, 0, 1, [add;average_pooling1d/Squeeze;add/y]:6
SQRT, 0.025, 0.02866, 0.133903%, 1.71504%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y]:7
RESHAPE, 0, 6e-05, 0.000280326%, 1.71532%, 0, 1, [Sqrt;add;average_pooling1d/Squeeze;add/y1]:8
SHAPE, 0, 0.00014, 0.000654095%, 1.71597%, 0, 1, [Shape]:9
FILL, 0.011, 0.01014, 0.0473752%, 1.76335%, 0, 1, [BroadcastTo]:10
MUL, 0.01, 0.0099, 0.0462539%, 1.8096%, 0, 1, [BroadcastTo1]:11
ADD, 0.019, 0.01846, 0.0862471%, 1.89585%, 0, 1, [add]:12
SHAPE, 0, 6e-05, 0.000280326%, 1.89613%, 0, 1, [layer_normalization/Shape]:13
STRIDED_SLICE, 0, 8e-05, 0.000373769%, 1.8965%, 0, 1, [layer_normalization/strided_slice]:14
MUL, 0, 0.00014, 0.000654095%, 1.89716%, 0, 1, [layer_normalization/mul_1]:15
RESHAPE, 0, 6e-05, 0.000280326%, 1.89744%, 0, 1, [layer_normalization/ones/packed]:16
FILL, 0.001, 0.0001, 0.000467211%, 1.8979%, 0, 1, [layer_normalization/ones]:17
FILL, 0, 0.00014, 0.000654095%, 1.89856%, 0, 1, [layer_normalization/zeros]:18
PACK, 0, 0.00058, 0.00270982%, 1.90127%, 0, 1, [layer_normalization/Reshape/shape]:19
RESHAPE, 0.031, 0.03152, 0.147265%, 2.04853%, 0, 1, [layer_normalization/Reshape]:20
TRANSPOSE, 0.03, 0.03626, 0.169411%, 2.21794%, 0, 1, [layer_normalization/FusedBatchNormV32]:21
MEAN, 0.023, 0.01782, 0.0832569%, 2.3012%, 0, 1, [layer_normalization/FusedBatchNormV33]:22
SQUARED_DIFFERENCE, 0.028, 0.02966, 0.138575%, 2.43977%, 0, 1, [layer_normalization/FusedBatchNormV34]:23
MEAN, 0.02, 0.02026, 0.0946569%, 2.53443%, 0, 1, [layer_normalization/FusedBatchNormV35]:24
ADD, 0, 0.00036, 0.00168196%, 2.53611%, 0, 1, [layer_normalization/FusedBatchNormV36]:25
RSQRT, 0.001, 0.0008, 0.00373769%, 2.53985%, 0, 1, [layer_normalization/FusedBatchNormV37]:26
MUL, 0.001, 0.00096, 0.00448522%, 2.54434%, 0, 1, [layer_normalization/FusedBatchNormV38]:27
MUL, 0.024, 0.0253, 0.118204%, 2.66254%, 0, 1, [layer_normalization/FusedBatchNormV39]:28
MUL, 0.001, 0.00082, 0.00383113%, 2.66637%, 0, 1, [layer_normalization/FusedBatchNormV310]:29
SUB, 0, 0.00044, 0.00205573%, 2.66843%, 0, 1, [layer_normalization/FusedBatchNormV311]:30
ADD, 0.029, 0.02952, 0.137921%, 2.80635%, 0, 1, [layer_normalization/FusedBatchNormV312]:31
TRANSPOSE, 0.027, 0.02826, 0.132034%, 2.93838%, 0, 1, [layer_normalization/FusedBatchNormV313]:32
RESHAPE, 0, 0.00014, 0.000654095%, 2.93904%, 0, 1, [layer_normalization/Reshape_1]:33
MUL, 0.016, 0.01602, 0.0748472%, 3.01388%, 0, 1, [layer_normalization/mul_3]:34
ADD, 0.031, 0.03072, 0.143527%, 3.15741%, 0, 1, [layer_normalization/add]:35
SHAPE, 0, 0.00014, 0.000654095%, 3.15806%, 0, 1, [multi_headed_attention/dense/Tensordot/Shape]:36
GATHER, 0, 0.00012, 0.000560653%, 3.15862%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2;multi_headed_attention/dense/Tensordot/GatherV2/axis]:37
REDUCE_PROD, 0, 0.00014, 0.000654095%, 3.15928%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod]:38
CONCATENATION, 0.001, 0.0001, 0.000467211%, 3.15975%, 0, 1, [multi_headed_attention/dense/Tensordot/concat_1]:39
GATHER, 0, 0.0001, 0.000467211%, 3.16021%, 0, 1, [multi_headed_attention/dense/Tensordot/GatherV2_1;multi_headed_attention/dense/Tensordot/GatherV2/axis]:40
REDUCE_PROD, 0, 0.0001, 0.000467211%, 3.16068%, 0, 1, [multi_headed_attention/dense/Tensordot/Prod_1]:41
PACK, 0, 0.00024, 0.00112131%, 3.1618%, 0, 1, [multi_headed_attention/dense/Tensordot/stack]:42
RESHAPE, 0.009, 0.00944, 0.0441047%, 3.20591%, 0, 1, [multi_headed_attention/dense/Tensordot/Reshape]:43
FULLY_CONNECTED, 0.462, 0.45894, 2.14422%, 5.35012%, 0, 1, [multi_headed_attention/dense/Tensordot/MatMul2]:44
RESHAPE, 0, 6e-05, 0.000280326%, 5.3504%, 0, 1, [multi_headed_attention/dense/Tensordot]:45
ADD, 0.005, 0.00526, 0.0245753%, 5.37498%, 0, 1, [multi_headed_attention/dense/BiasAdd]:46
SHAPE, 0.001, 0.00014, 0.000654095%, 5.37563%, 0, 1, [multi_headed_attention/Shape]:47
STRIDED_SLICE, 0, 0.00014, 0.000654095%, 5.37629%, 0, 1, [multi_headed_attention/strided_slice]:48
PACK, 0, 0.00032, 0.00149507%, 5.37778%, 0, 1, [multi_headed_attention/Reshape/shape]:49
RESHAPE, 0.02, 0.01578, 0.0737258%, 5.45151%, 0, 1, [multi_headed_attention/Reshape]:50
TRANSPOSE, 0.035, 0.0253, 0.118204%, 5.56971%, 0, 1, [multi_headed_attention/transpose]:51
FULLY_CONNECTED, 0.451, 0.4524, 2.11366%, 7.68337%, 0, 1, [multi_headed_attention/dense_1/Tensordot/MatMul1]:52
RESHAPE, 0.001, 0.00012, 0.000560653%, 7.68393%, 0, 1, [multi_headed_attention/dense_1/Tensordot]:53
ADD, 0.005, 0.00516, 0.0241081%, 7.70804%, 0, 1, [multi_headed_attention/dense_1/BiasAdd]:54
SHAPE, 0, 2e-05, 9.34421e-05%, 7.70814%, 0, 1, [multi_headed_attention/Shape_2]:55
STRIDED_SLICE, 0, 0.00012, 0.000560653%, 7.7087%, 0, 1, [multi_headed_attention/strided_slice_2]:56
PACK, 0.001, 0.00048, 0.00224261%, 7.71094%, 0, 1, [multi_headed_attention/Reshape_1/shape]:57
RESHAPE, 0.008, 0.00696, 0.0325179%, 7.74346%, 0, 1, [multi_headed_attention/Reshape_1]:58
TRANSPOSE, 0.032, 0.03104, 0.145022%, 7.88848%, 0, 1, [multi_headed_attention/transpose_1]:59
BATCH_MATMUL, 0.141, 0.13216, 0.617466%, 8.50594%, 0, 1, [multi_headed_attention/dot_product_attention/MatMul]:60
MUL, 0.086, 0.08622, 0.402829%, 8.90877%, 0, 1, [multi_headed_attention/dot_product_attention/truediv;multi_headed_attention/dot_product_attention/Sqrt1]:61
SOFTMAX, 0.133, 0.10242, 0.478517%, 9.38729%, 0, 1, [multi_headed_attention/dot_product_attention/Softmax]:62
FULLY_CONNECTED, 0.452, 0.45408, 2.12151%, 11.5088%, 0, 1, [multi_headed_attention/dense_2/Tensordot/MatMul1]:63
RESHAPE, 0, 8e-05, 0.000373769%, 11.5092%, 0, 1, [multi_headed_attention/dense_2/Tensordot]:64
ADD, 0.005, 0.0053, 0.0247622%, 11.5339%, 0, 1, [multi_headed_attention/dense_2/BiasAdd]:65
SHAPE, 0, 4e-05, 0.000186884%, 11.5341%, 0, 1, [multi_headed_attention/Shape_4]:66
STRIDED_SLICE, 0, 6e-05, 0.000280326%, 11.5344%, 0, 1, [multi_headed_attention/strided_slice_4]:67
PACK, 0.001, 0.00032, 0.00149507%, 11.5359%, 0, 1, [multi_headed_attention/Reshape_2/shape]:68
RESHAPE, 0.015, 0.0108, 0.0504588%, 11.5864%, 0, 1, [multi_headed_attention/Reshape_2]:69
TRANSPOSE, 0.033, 0.0336, 0.156983%, 11.7433%, 0, 1, [multi_headed_attention/transpose_2]:70
BATCH_MATMUL, 0.143, 0.14996, 0.700629%, 12.444%, 0, 1, [multi_headed_attention/dot_product_attention/MatMul_1]:71
TRANSPOSE, 0.034, 0.03194, 0.149227%, 12.5932%, 0, 1, [multi_headed_attention/transpose_3]:72
SHAPE, 0, 6e-05, 0.000280326%, 12.5935%, 0, 1, [multi_headed_attention/Shape_6]:73
STRIDED_SLICE, 0, 0.0001, 0.000467211%, 12.5939%, 0, 1, [multi_headed_attention/strided_slice_6]:74
PACK, 0, 0.00044, 0.00205573%, 12.596%, 0, 1, [multi_headed_attention/Reshape_3/shape]:75
RESHAPE, 0.009, 0.0091, 0.0425162%, 12.6385%, 0, 1, [multi_headed_attention/Reshape_3]:76
