TS,V,I1,W1,VA1,I2,W2,VA2
1645753032.53,120.92,13.93,1676.0,1684.0,0.869,62.0,105.0
1645753032.63,120.93,13.874,1670.0,1678.0,0.861,62.0,104.0
1645753032.73,120.93,13.878,1670.0,1678.0,0.865,62.0,105.0
1645753032.83,120.92,13.901,1673.0,1681.0,0.858,62.0,104.0
1645753032.93,120.92,13.888,1671.0,1679.0,0.863,62.0,104.0
1645753033.03,120.92,13.9,1673.0,1681.0,0.853,61.0,103.0
1645753033.13,121.1,13.913,1677.0,1685.0,0.866,63.0,105.0
1645753033.23,120.92,13.894,1672.0,1680.0,0.854,61.0,103.0
1645753033.33,120.94,13.972,1682.0,1690.0,0.864,62.0,104.0
1645753033.43,120.93,13.884,1671.0,1679.0,0.842,60.0,102.0
1645753033.53,120.91,13.956,1679.0,1687.0,0.852,61.0,103.0
1645753033.63,120.94,13.852,1667.0,1675.0,0.842,60.0,102.0
1645753033.73,120.93,13.902,1673.0,1681.0,0.859,62.0,104.0
1645753033.83,120.93,13.861,1668.0,1676.0,0.837,60.0,101.0
1645753033.93,120.93,13.917,1675.0,1683.0,0.852,61.0,103.0
1645753034.03,120.94,13.868,1669.0,1677.0,0.843,60.0,102.0
1645753034.13,120.93,13.938,1677.0,1685.0,0.851,61.0,103.0
1645753034.23,120.92,13.845,1666.0,1674.0,0.838,60.0,101.0
1645753034.33,121.09,13.976,1684.0,1692.0,0.85,61.0,103.0
1645753034.43,120.93,13.883,1671.0,1679.0,0.836,60.0,101.0
1645753034.53,120.93,13.915,1675.0,1683.0,0.854,61.0,103.0
1645753034.63,120.94,13.876,1670.0,1678.0,0.837,60.0,101.0
1645753034.73,120.93,13.898,1672.0,1681.0,0.844,60.0,102.0
1645753034.83,120.94,13.873,1670.0,1678.0,0.837,60.0,101.0
1645753034.93,120.93,14.066,1693.0,1701.0,0.845,60.0,102.0
1645753035.03,120.92,14.174,1706.0,1714.0,0.84,60.0,102.0
1645753035.13,120.95,13.931,1677.0,1685.0,0.857,61.0,104.0
1645753035.23,120.95,13.894,1672.0,1680.0,0.838,60.0,101.0
1645753035.33,120.92,13.942,1678.0,1686.0,0.847,61.0,102.0
1645753035.43,120.95,13.932,1677.0,1685.0,0.836,60.0,101.0
1645753035.53,121.1,13.928,1678.0,1687.0,0.853,61.0,103.0
1645753035.63,120.92,13.883,1670.0,1679.0,0.848,60.0,102.0
1645753035.73,120.91,13.908,1673.0,1682.0,0.854,61.0,103.0
1645753035.83,120.89,13.882,1670.0,1678.0,0.843,60.0,102.0
1645753035.93,120.9,13.91,1674.0,1682.0,0.847,60.0,102.0
1645753036.03,120.91,13.894,1672.0,1680.0,0.837,60.0,101.0
1645753036.13,120.91,13.905,1673.0,1681.0,0.846,61.0,102.0
1645753036.23,120.91,13.886,1671.0,1679.0,0.834,60.0,101.0
1645753036.33,120.91,13.958,1679.0,1688.0,0.856,61.0,104.0
1645753036.43,120.92,13.911,1674.0,1682.0,0.837,59.0,101.0
1645753036.54,120.92,13.965,1680.0,1689.0,0.848,61.0,102.0
1645753036.63,120.92,13.847,1666.0,1674.0,0.84,60.0,102.0
1645753036.73,120.9,13.937,1677.0,1685.0,0.85,61.0,103.0
1645753036.83,120.91,13.848,1666.0,1674.0,0.834,60.0,101.0
1645753036.93,121.08,13.946,1680.0,1689.0,0.846,61.0,102.0
1645753037.04,120.92,13.867,1669.0,1677.0,0.836,60.0,101.0
1645753037.13,120.92,13.979,1682.0,1690.0,0.849,60.0,103.0
1645753037.24,120.92,13.953,1679.0,1687.0,0.832,59.0,101.0
1645753037.33,120.9,14.027,1688.0,1696.0,0.853,61.0,103.0
1645753037.43,120.92,13.922,1675.0,1684.0,0.835,60.0,101.0
1645753037.54,120.91,13.996,1684.0,1692.0,0.843,61.0,102.0
1645753037.63,120.9,13.932,1676.0,1684.0,0.836,60.0,101.0
1645753037.74,120.9,14.008,1685.0,1694.0,0.851,61.0,103.0
1645753037.83,120.92,13.908,1674.0,1682.0,0.836,60.0,101.0
1645753037.94,120.89,13.99,1683.0,1691.0,0.847,61.0,102.0
1645753038.04,120.91,13.906,1673.0,1681.0,0.842,60.0,102.0
1645753038.13,120.91,13.983,1683.0,1691.0,0.863,62.0,104.0
1645753038.24,120.93,13.905,1673.0,1682.0,0.849,61.0,103.0
1645753038.33,120.93,13.973,1681.0,1690.0,0.86,62.0,104.0
1645753038.44,121.11,14.003,1688.0,1696.0,0.859,62.0,104.0
1645753038.54,120.93,13.997,1684.0,1693.0,0.867,63.0,105.0
1645753038.64,120.95,13.923,1676.0,1684.0,0.851,61.0,103.0
1645753038.74,120.93,13.977,1682.0,1690.0,0.864,62.0,104.0
1645753038.83,120.94,13.898,1673.0,1681.0,0.833,59.0,101.0
1645753038.94,120.93,13.96,1680.0,1688.0,0.832,59.0,101.0
1645753039.03,120.93,13.919,1675.0,1683.0,0.817,58.0,99.0
1645753039.14,120.93,13.975,1682.0,1690.0,0.84,60.0,102.0
1645753039.24,120.93,13.914,1674.0,1683.0,0.83,59.0,100.0
1645753039.34,120.93,13.998,1685.0,1693.0,0.831,59.0,101.0
1645753039.44,120.94,13.888,1672.0,1680.0,0.817,58.0,99.0
1645753039.53,120.92,13.968,1681.0,1689.0,0.822,58.0,99.0
1645753039.64,120.93,13.914,1675.0,1683.0,0.809,57.0,98.0
1645753039.74,120.95,13.955,1680.0,1688.0,0.82,58.0,99.0
1645753039.84,120.95,13.944,1678.0,1686.0,0.815,58.0,99.0
1645753039.94,121.11,14.094,1699.0,1707.0,0.825,59.0,100.0
1645753040.04,120.92,14.241,1714.0,1722.0,0.813,58.0,98.0
1645753040.14,120.95,13.938,1678.0,1686.0,0.826,59.0,100.0
1645753040.24,120.94,13.98,1682.0,1691.0,0.804,57.0,97.0
1645753040.34,120.93,14.01,1686.0,1694.0,0.818,57.0,99.0
1645753040.44,120.95,14.011,1686.0,1695.0,0.806,57.0,98.0
1645753040.54,120.95,13.983,1683.0,1691.0,0.815,58.0,99.0
1645753040.64,120.96,13.953,1679.0,1688.0,0.812,58.0,98.0
1645753040.74,120.96,13.987,1683.0,1692.0,0.825,59.0,100.0
1645753040.84,120.94,13.968,1681.0,1689.0,0.81,57.0,98.0
1645753040.94,120.94,14.01,1686.0,1694.0,0.821,58.0,99.0
1645753041.04,120.97,13.959,1680.0,1689.0,0.812,57.0,98.0
1645753041.14,120.97,13.96,1680.0,1689.0,0.817,58.0,99.0
1645753041.24,120.96,13.972,1682.0,1690.0,0.804,57.0,97.0
1645753041.34,120.97,14.025,1688.0,1697.0,0.82,59.0,99.0
1645753041.44,121.15,13.972,1684.0,1693.0,0.823,59.0,100.0
1645753041.54,120.97,14.023,1688.0,1696.0,0.82,58.0,99.0
1645753041.64,120.97,13.929,1677.0,1685.0,0.812,58.0,98.0
1645753041.74,120.97,14.019,1687.0,1696.0,0.821,58.0,99.0
1645753041.84,120.97,13.93,1677.0,1685.0,0.81,57.0,98.0
1645753041.94,120.98,14.016,1687.0,1696.0,0.816,58.0,99.0
1645753042.04,120.98,13.912,1675.0,1683.0,0.804,57.0,97.0
1645753042.14,120.99,13.926,1677.0,1685.0,0.825,59.0,100.0
1645753042.24,120.97,14.003,1686.0,1694.0,0.88,67.0,106.0
1645753042.34,120.99,14.018,1688.0,1696.0,1.114,104.0,135.0
1645753042.44,121.02,13.949,1680.0,1688.0,1.199,118.0,145.0
1645753042.54,121.0,13.957,1680.0,1689.0,1.234,122.0,149.0
1645753042.64,121.0,13.955,1680.0,1689.0,1.225,122.0,148.0
1645753042.74,120.99,13.952,1680.0,1688.0,1.232,123.0,149.0
1645753042.84,120.96,13.983,1683.0,1691.0,1.226,123.0,148.0
1645753042.94,121.11,14.011,1688.0,1697.0,1.239,124.0,150.0
1645753043.04,120.93,13.946,1678.0,1687.0,1.225,122.0,148.0
1645753043.14,120.93,13.966,1680.0,1689.0,1.236,123.0,149.0
1645753043.24,120.94,13.99,1683.0,1692.0,1.227,122.0,148.0
1645753043.34,120.94,14.04,1689.0,1698.0,1.232,123.0,149.0
1645753043.44,120.95,13.984,1683.0,1691.0,1.228,122.0,148.0
1645753043.54,120.95,13.992,1684.0,1692.0,1.243,124.0,150.0
1645753043.64,120.96,13.971,1681.0,1690.0,1.235,123.0,149.0
1645753043.74,120.96,14.011,1686.0,1695.0,1.24,124.0,150.0
1645753043.84,120.97,13.948,1679.0,1687.0,1.236,123.0,150.0
1645753043.94,120.97,14.002,1685.0,1694.0,1.24,123.0,150.0
1645753044.04,120.99,13.957,1680.0,1689.0,1.234,123.0,149.0
1645753044.14,120.98,13.994,1684.0,1693.0,1.244,124.0,150.0
1645753044.24,120.98,13.941,1678.0,1687.0,1.235,123.0,149.0
1645753044.34,121.15,14.046,1693.0,1702.0,1.253,125.0,152.0
1645753044.44,120.98,14.0,1685.0,1694.0,1.244,124.0,151.0
1645753044.54,121.0,13.982,1683.0,1692.0,1.258,125.0,152.0
1645753044.64,121.02,13.969,1682.0,1691.0,1.237,123.0,150.0
1645753044.74,121.02,13.962,1681.0,1690.0,1.256,125.0,152.0
1645753044.84,121.02,13.955,1681.0,1689.0,1.245,124.0,151.0
1645753044.94,121.01,14.059,1693.0,1701.0,1.254,125.0,152.0
1645753045.04,120.99,14.277,1719.0,1727.0,1.242,124.0,150.0
1645753045.14,121.0,14.041,1690.0,1699.0,1.25,125.0,151.0
1645753045.24,121.01,13.966,1682.0,1690.0,1.24,124.0,150.0
1645753045.34,121.01,14.037,1690.0,1699.0,1.243,124.0,150.0
1645753045.44,121.02,13.976,1683.0,1691.0,1.231,123.0,149.0
1645753045.54,121.01,13.96,1681.0,1689.0,1.241,124.0,150.0
1645753045.64,121.02,13.938,1678.0,1687.0,1.227,123.0,149.0
1645753045.74,121.18,14.004,1689.0,1697.0,1.235,124.0,150.0
1645753045.84,121.03,13.916,1676.0,1684.0,1.222,122.0,148.0
1645753045.94,121.03,13.947,1680.0,1688.0,1.237,123.0,150.0
1645753046.04,121.02,13.952,1680.0,1688.0,1.228,122.0,149.0
1645753046.14,121.02,13.994,1685.0,1694.0,1.235,123.0,149.0
1645753046.24,121.01,13.946,1679.0,1688.0,1.224,122.0,148.0
1645753046.34,121.01,14.027,1689.0,1697.0,1.232,123.0,149.0
1645753046.44,121.02,13.945,1679.0,1688.0,1.228,123.0,149.0
1645753046.54,121.0,13.991,1685.0,1693.0,1.233,123.0,149.0
1645753046.64,121.03,13.96,1681.0,1690.0,1.221,122.0,148.0
1645753046.74,121.01,14.028,1689.0,1698.0,1.235,123.0,149.0
1645753046.84,121.03,13.894,1673.0,1682.0,1.225,122.0,148.0
1645753046.94,121.2,14.024,1691.0,1700.0,1.236,124.0,150.0
1645753047.04,121.04,13.93,1678.0,1686.0,1.223,122.0,148.0
1645753047.14,121.04,13.995,1686.0,1694.0,1.24,123.0,150.0
1645753047.24,121.04,13.927,1677.0,1686.0,1.223,122.0,148.0
1645753047.34,121.01,14.05,1692.0,1700.0,1.235,123.0,149.0
1645753047.44,121.01,13.94,1678.0,1687.0,1.216,121.0,147.0
1645753047.54,120.98,13.972,1682.0,1690.0,1.238,123.0,150.0
1645753047.64,120.99,13.922,1676.0,1684.0,1.223,122.0,148.0
1645753047.74,120.97,13.99,1684.0,1692.0,1.23,123.0,149.0
1645753047.84,120.99,13.941,1678.0,1687.0,1.223,122.0,148.0
1645753047.94,120.98,14.023,1688.0,1697.0,1.235,123.0,149.0
1645753048.04,121.0,13.948,1679.0,1688.0,1.222,122.0,148.0
1645753048.14,120.99,13.999,1685.0,1694.0,1.251,124.0,151.0
1645753048.24,121.17,13.917,1678.0,1686.0,1.221,122.0,148.0
1645753048.34,120.98,14.022,1688.0,1696.0,1.233,123.0,149.0
1645753048.44,120.99,13.863,1669.0,1677.0,1.225,122.0,148.0
1645753048.54,120.98,13.93,1677.0,1685.0,1.233,123.0,149.0
1645753048.64,121.0,13.878,1671.0,1679.0,1.224,122.0,148.0
1645753048.74,121.01,13.927,1677.0,1685.0,1.235,123.0,149.0
1645753048.84,121.01,13.894,1673.0,1681.0,1.222,122.0,148.0
1645753048.94,121.03,13.93,1677.0,1686.0,1.241,124.0,150.0
1645753049.04,121.04,13.906,1675.0,1683.0,1.224,122.0,148.0
1645753049.14,121.03,13.903,1674.0,1683.0,1.227,122.0,149.0
1645753049.24,121.04,13.901,1674.0,1683.0,1.228,122.0,149.0
1645753049.34,121.02,13.989,1685.0,1693.0,1.232,123.0,149.0
1645753049.44,121.02,13.852,1668.0,1676.0,1.225,122.0,148.0
1645753049.54,121.2,13.937,1681.0,1689.0,1.232,123.0,149.0
1645753049.64,121.03,13.845,1668.0,1676.0,1.222,122.0,148.0
1645753049.74,121.01,13.942,1679.0,1687.0,1.232,123.0,149.0
